Année;Région;Région Code;Sexe;Taux standardisés de personnes de 18-75 ans déclarant fumer tous les jours;Borne inférieure de l'intervalle de confiance du taux standardisés de personnes de 18-75 ans déclarant fumer tous les jours.;Borne supérieure de l'intervalle de confiance du taux standardisés de personnes de 18-75 ans déclarant fumer tous les jours.;Différences régionales entre taux standardisés de tabagisme quotidien chez les 18-75 ans
2014;Bretagne;53;Femmes;23.4632;19.0137;28.586299999999998;B
2010;Bourgogne et Franche-Comté;27;Femmes;29.2785;25.2921;33.610600000000005;B
2017;Grand Est;44;Femmes;27.4503;24.1734;30.989800000000002;B
2005;Centre-Val de Loire;24;Femmes;22.117700000000003;18.4692;26.254699999999996;B
2000;Bretagne;53;Femmes;24.6665;20.231099999999998;29.7122;B
2014;Nouvelle Aquitaine;75;Femmes;27.6019;23.82;31.7342;B
2014;Occitanie;76;Femmes;25.4356;21.3311;30.0283;B
2017;Hauts-de-France;32;Femmes;26.868399999999998;23.5979;30.4118;B
2017;Bourgogne et Franche-Comté;27;Femmes;23.3217;19.4571;27.689999999999998;B
2017;Bretagne;53;Femmes;24.6756;20.930699999999998;28.846;B
2017;Auvergne et Rhône-Alpes;84;Femmes;23.6419;21.207;26.263199999999998;B
2014;Provence-Alpes-Côte d'Azur;93;Femmes;25.829;21.6553;30.494;B
2010;Nouvelle Aquitaine;75;Femmes;30.274600000000003;27.313100000000002;33.4097;C
2010;Provence-Alpes-Côte d'Azur;93;Femmes;31.848100000000002;28.6267;35.253;C
2021;Bretagne;53;Femmes;;;;
2021;Nouvelle Aquitaine;75;Femmes;;;;
2000;Île-de-France;11;Hommes et Femmes;30.9157;28.4562;33.4882;B
2000;Normandie;28;Hommes et Femmes;29.922700000000003;26.0654;34.0878;B
2000;Centre-Val de Loire;24;Hommes et Femmes;29.4414;25.1143;34.1739;B
2000;Pays de la Loire;52;Hommes et Femmes;26.348;22.9852;30.011;A
