Num_Acc;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
202100000305;4;11;2021;19:31;5;973;97302;2;1;1;6;JACARANDAS (CITE);4,9351410894; -52,3162086010
202100000451;5;10;2021;16:30;1;973;97309;1;1;1;2;Route de la Matourienne;4,8770930000; -52,2978560000
202100000655;16;12;2021;08:15;1;973;97302;2;1;1;3;BADUEL (ROUTE DE);4,9337100000; -52,3103300000
202100000741;30;12;2021;18:20;5;973;97302;2;1;1;6;MONNERVILLE (AVENUE GASTON);4,9369300000; -52,3334400000
202100000742;30;12;2021;11:40;1;973;97302;2;1;8;6;EUGENE GOBERT(RUE);4,9318403883; -52,3316492736
202100000804;31;12;2021;17:00;1;973;97311;1;1;1;7;Route de Mana;5,5270439517; -53,9514112473
202100000840;30;12;2021;12:05;1;973;97302;2;3;1;3;BADUEL (ROUTE DE);4,9374584740; -52,3158091307
202100000931;30;12;2021;04:00;3;973;97307;1;1;1;7;RN 1;4,8940850000; -52,3548160000
202100000933;30;12;2021;09:50;1;973;97309;1;1;8;7;NATIONALE 4;4,8794450000; -52,2950290000
202100000934;30;12;2021;21:40;5;973;97311;2;1;1;3;Allee des Ixoras;5,4840595965; -54,0157992840
202100000935;27;12;2021;07:40;1;973;97303;1;1;1;7;pk 168+410;5,4802807412; -53,2114702463
202100000966;10;12;2021;12:05;1;973;97302;2;3;2;1;FLAMBOYANTS (RUE DES);4,9237618627; -52,3194712401
202100001153;27;12;2021;02:00;5;973;97302;2;2;1;3;MANGO (ROUTE);4,9295900000; -52,3151200000
202100001154;26;12;2021;19:30;5;973;97302;2;1;2;6;MONTABO (ROUTE DE) 1;4,9412687438; -52,3031281829
202100001155;26;12;2021;02:02;5;973;97302;2;1;3;2;CATAYEE (JUSTIN);4,9260200000; -52,3243100000
202100001271;25;12;2021;13:05;1;973;97302;2;1;1;3;RABAN (ROUTE DE);4,9207700000; -52,3126400000
202100001364;25;12;2021;15:00;1;973;97302;2;1;1;3;MADELEINE (ROUTE DE LA);4,9156500000; -52,3211600000
202100001420;24;12;2021;19:05;5;973;97305;2;1;2;6;42 impasse waki;4,9849231622; -52,4867543578
202100001441;25;12;2021;04:20;1;973;97309;2;1;1;5;TROUBIRAN (CHEMIN DE);4,9179100000; -52,3071400000
202100001541;26;12;2021;14:00;1;973;97309;2;1;1;3;1741 Route de Montjoly;4,9233900000; -52,2830400000
202100001542;25;12;2021;20:15;3;973;97309;2;1;1;2;Route du Tigre;4,9037380000; -52,3047390000
202100001569;23;12;2021;12:00;1;973;97302;2;1;1;1;REPUBLIQUE (BD DE LA);4,9376200000; -52,3241600000
202100001570;23;12;2021;08:40;1;973;97302;2;2;1;3;BADUEL (ROUTE DE);4,9393400000; -52,3184200000
202100001690;22;12;2021;18:20;5;973;97302;2;1;1;2;BADUEL (ROUTE DE);4,9290643299; -52,3009335995
202100001834;21;12;2021;16:50;1;973;97302;2;1;2;2;CABASSOU (ROUTE DE);4,9184300000; -52,3154300000
202100002120;18;12;2021;19:00;5;973;97302;2;1;1;5;;4,9271600000; -52,3197100000
202100002121;19;12;2021;01:20;5;973;97302;2;1;1;1;JACARANDAS (CITE);4,9349999048; -52,3162672520
202100002224;18;12;2021;01:00;5;973;97302;2;6;1;2;ROUTE NATIONALE 1;4,9312543573; -52,3297893405
202100002360;17;12;2021;08:54;1;973;97302;2;1;1;2;GALMOT (AVENUE);4,9309368903; -52,3296863437
202100002527;18;12;2021;20:50;5;973;97309;2;1;1;2;Boulevard Edmard Lama;4,9066560000; -52,2772510000
202100002571;16;12;2021;17:30;1;973;97302;2;2;2;6;DE GAULLE (AVENUE);4,9398545925; -52,3273455799
202100002572;16;12;2021;07:40;1;973;97302;2;9;1;3;MONTABO (ROUTE DE) 3;4,9351100000; -52,2932900000
202100002731;15;12;2021;16:55;1;973;97302;2;3;1;3;MONTABO (ROUTE DE) 3;4,9416834754; -52,3040864468
202100002732;15;12;2021;06:56;2;973;97302;2;9;1;6;MONTABO (ROUTE DE) 2;4,9421524530; -52,3047731817
202100002856;17;12;2021;14:00;1;973;97307;2;1;1;3;RN2 - Balata;4,8858750000; -52,3353700000
202100003013;15;12;2021;19:25;3;973;97305;1;1;1;3;rn 1, pk 22;4,9776570000; -52,4428940000
202100003061;13;12;2021;02:50;5;973;97302;1;1;2;7;CRIQUE FOUILLEE (ROND POINT);4,8969230348; -52,3284959794
202100003062;11;12;2021;23:35;4;973;97302;1;6;2;3;GIRATOIRE MARINGOUINS;4,9077637017; -52,3225142956
202100003198;14;12;2021;19:15;4;973;97307;2;3;1;5;route natiolale 2;4,8760890000; -52,3372360000
202100003230;12;12;2021;19:00;4;973;97302;2;1;2;3;UNIVERSITE CHICAGO (RUE DE);4,9341957304; -52,2990503311
202100003391;11;12;2021;10:17;1;973;97302;2;2;1;3;PREVOT (ERNEST);4,9340100000; -52,3330300000
202100003392;11;12;2021;06:42;1;973;97302;2;1;1;6;FELIX EBOUE(ROCADE);4,9291300000; -52,3158400000
202100003546;9;12;2021;13:15;1;973;97302;2;1;1;6;BADUEL (ROUTE DE);4,9346700000; -52,3116100000
202100003959;8;12;2021;15:45;1;973;97302;2;2;1;3;DIGUE RONJON;4,9333400000; -52,3316900000
202100003960;8;12;2021;13:55;1;973;97302;2;1;8;4;UNIVERSITE CHICAGO (RUE DE);4,9343419926; -52,2989493013
202100003961;7;12;2021;16:50;1;973;97302;2;1;1;6;RABAN (ROUTE DE);4,9280499284; -52,3138175905
202100004501;5;12;2021;00:13;5;973;97302;2;1;2;6;ZEPHIR (ROCADE);4,9361975238; -52,3074892760
