Num_Acc;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp
202000004220;154 734 798;B01;1;1;3;2;1980;5;1; -1; -1;0;0; -1
202000004220;154 734 799;A01;7;2;3;2;2003;5;0; -1; -1;0;0; -1
202000004220;154 734 799;A01;1;1;4;1;1999;0;1; -1; -1;0;0; -1
202000004220;154 734 799;A01;2;2;4;1;1994;5;1; -1; -1;0;0; -1
202000004493;154 734 335;Z01;10;3;4;2;1977;3;8;8; -1;9;3;1
202000004493;154 734 335;Z01;1;1;4;1;1987;0;8;8; -1; -1; -1; -1
202000004494;154 734 333;A01;1;1;4;1;1985;0;2;0; -1; -1; -1; -1
202000004494;154 734 333;A01;2;2;4;2;1966;0;2;0; -1; -1; -1; -1
202000004494;154 734 334;B01;1;1;1;2;1996;0;1;0; -1; -1; -1; -1
202000004495;154 734 332;A01;1;1;3;1;1970;0;2;8; -1; -1; -1; -1
202000004496;154 734 331;A01;10;3;4;2;2016;0;0; -1; -1;5;9;2
202000004496;154 734 331;A01;10;3;4;2;1975;0;0; -1; -1;5;9;2
202000004496;154 734 331;A01;1;1;1;1;1977;0;1;0; -1; -1; -1; -1
202000004739;154 733 911;A01;1;1;4;1;1995;0;2;0; -1; -1; -1; -1
202000004739;154 733 912;B01;1;1;1;1;1970;0;1;0; -1; -1; -1; -1
202000004739;154 733 913;C01;1;1;1;1;1969;9;1;0; -1; -1; -1; -1
202000004740;154 733 909;B01;1;1;4;2;1989;9;1;8; -1; -1; -1; -1
202000004740;154 733 910;A01;1;1;1;1;1999;9;1;8; -1; -1; -1; -1
202000004741;154 733 907;B01;1;1;4;1;1978;5;1;0; -1; -1; -1; -1
202000004741;154 733 908;A01;1;1;1;2;1983;5;1;8; -1; -1; -1; -1
202000005099;154 733 288;B01;2;2;4;2;2004;5;2;0; -1; -1; -1; -1
202000005099;154 733 288;B01;1;1;1;1;2004;5;2;8; -1; -1; -1; -1
202000005099;154 733 289;A01;1;1;1;1;1988;5;1;8; -1; -1; -1; -1
202000005100;154 733 286;A01;1;1;1;2;1988;9;1;8; -1; -1; -1; -1
202000005100;154 733 287;B01;1;1;4;2;1980;9;2;8; -1; -1; -1; -1
202000005183;154 733 139;A01;1;1;1;1;1951;0;1;8; -1; -1; -1; -1
202000005183;154 733 139;A01;10;3;4;1;1965;0;0; -1; -1;1;3;1
202000005184;154 733 137;B01;1;1;1;1;1987;0;1;8; -1; -1; -1; -1
202000005184;154 733 138;A01;1;1;4;2;1991;0;2;8; -1; -1; -1; -1
202000005185;154 733 134;C01;1;1;1;2;1984;0;1;8; -1; -1; -1; -1
202000005185;154 733 135;A01;1;1;1;2;1954;0;1;8; -1; -1; -1; -1
202000005185;154 733 136;B01;1;1;4;1;1994;0;2;8; -1; -1; -1; -1
202000005307;154 732 912;A01;1;1;1;1;1977;5;1; -1; -1;0;0; -1
202000005307;154 732 913;B01;1;1;4;1;2003;5;0; -1; -1;0;0; -1
202000005307;154 732 913;B01;2;2;3;1;2001;5;0; -1; -1;0;0; -1
202000005420;154 732 695;B01;1;1;1;2;1965;0;1;8; -1; -1; -1; -1
202000005420;154 732 695;B01;9;2;4;1;2006;0;1;8; -1; -1; -1; -1
202000005420;154 732 696;A01;1;1;1;1;1982;0;1;8; -1; -1; -1; -1
202000005421;154 732 694;A01;1;1;4;2;1990;1;1;8; -1;0;0; -1
202000005481;154 732 580;A01;1;1;3;1;1996;4;2;0; -1; -1;0; -1
202000005481;154 732 581;B01;1;1;1;1;1991;5;1;0; -1; -1;0; -1
202000005629;154 732 341;B01;1;1;4;1;1991;9;2;8; -1; -1; -1; -1
202000005629;154 732 342;A01;1;1;1;2;1966;9;1;8; -1; -1; -1; -1
202000005759;154 732 120;B01;1;1;1;2;1964;9;1;0; -1; -1; -1; -1
202000005759;154 732 121;A01;2;2;4;2;1981;9;2;0; -1; -1; -1; -1
202000005759;154 732 121;A01;1;1;3;1;1993;9;2;0; -1; -1; -1; -1
202000005908;154 731 856;A01;10;3;4;1;1988;9;0; -1; -1;9;9;1
202000005908;154 731 856;A01;2;2;1;1;1972;5;8; -1; -1;0;0; -1
202000005908;154 731 856;A01;1;1;1;1;1986;9;8; -1; -1;0;0; -1
202000005976;154 731 719;Y01;1;1;4;1;2005;0;8;0; -1; -1; -1; -1
202000006125;154 731 452;B01;1;1;1;1;1995;4;1; -1; -1;0;0; -1
202000006125;154 731 453;A01;1;1;2;1;1968;9;0; -1; -1;0;0; -1
202000006217;154 731 291;B01;1;1;4;1;1999;0;8;0; -1; -1; -1; -1
202000006217;154 731 292;A01;1;1;1;2;1979;0;8;0; -1; -1; -1; -1
202000006597;154 730 642;B01;1;1;3;1;2000;0;2; -1; -1;0;0; -1
202000006597;154 730 643;A01;1;1;1;1;1960;0;1; -1; -1;0;0; -1
202000006620;154 730 603;Z01;1;1;1;1;1979;9;8;0; -1; -1; -1; -1
202000006620;154 730 603;Z01;10;3;4;2;2012;9;8;8; -1;2;3;1
202000006723;154 730 429;A01;1;1;1;2;1972;0;1;8; -1; -1; -1; -1
202000006723;154 730 429;A01;10;3;4;1;1949;0;0; -1; -1;3;3;1
202000006724;154 730 427;B01;1;1;4;1;1998;0;2;0; -1; -1; -1; -1
202000006724;154 730 428;A01;2;2;4;1;1945;0;2;0; -1; -1; -1; -1
202000006724;154 730 428;A01;1;1;1;1;1982;0;2;0; -1; -1; -1; -1
202000006725;154 730 425;A01;1;1;1;1;1974;2;2;8; -1; -1; -1; -1
202000006725;154 730 425;A01;2;2;4;1;2010;2;2;8; -1; -1; -1; -1
202000006725;154 730 426;B01;1;1;1;1;1991;1;1;8; -1; -1; -1; -1
202000006841;154 730 230;A01;1;1;1;1;1972;9;1;8; -1; -1; -1; -1
202000006841;154 730 231;B01;1;1;4;2;1988;9;2;8; -1; -1; -1; -1
202000006842;154 730 228;B01;1;1;4;1;1987;9;2;8; -1; -1; -1; -1
202000006842;154 730 229;A01;1;1;1;1;1987;9;1;8; -1; -1; -1; -1
202000006843;154 730 226;B01;2;2;4;2;2002;3;1;0; -1; -1; -1; -1
202000006843;154 730 226;B01;1;1;1;2;1979;3;1;0; -1; -1; -1; -1
202000006843;154 730 227;A01;1;1;1;1;1974;0;1;0; -1; -1; -1; -1
202000007009;154 729 938;A01;10;3;1;1;2002;9;0; -1; -1;3;3;3
202000007009;154 729 938;A01;10;3;3;2;2014;5;0; -1; -1;3;3;2
202000007009;154 729 938;A01;1;1;1;1;1965;5;1;8; -1; -1; -1; -1
202000007010;154 729 936;B01;2;2;4;2;1984;0;2;0; -1; -1; -1; -1
202000007010;154 729 936;B01;1;1;4;1;1992;0;2;8; -1; -1; -1; -1
202000007010;154 729 937;A01;1;1;1;2;1973;0;1;8; -1; -1; -1; -1
202000007137;154 729 710;B01;1;1;1;1;1989;1;1;8; -1; -1; -1; -1
202000007137;154 729 711;A01;1;1;4;2;1947;3;1;8; -1; -1; -1; -1
202000007716;154 728 677;A01;1;1;1;1;1962;1;1; -1; -1;0;0; -1
202000007716;154 728 679;B01;1;1;3;1;1999;0;0; -1; -1;0;0; -1
202000007727;154 728 654;A01;1;1;3;1;1963;4;1; -1; -1;0;0; -1
202000007905;154 728 336;B01;1;1;3;2;1986;9;2;0; -1; -1; -1; -1
202000007905;154 728 337;A01;1;1;1;2;1991;4;1;0; -1; -1; -1; -1
202000008114;154 727 971;B01;1;1;1;1;1998;0;1;8; -1; -1; -1; -1
202000008114;154 727 972;A01;1;1;4;1;1933;0;1;8; -1; -1; -1; -1
202000008289;154 727 672;A01;1;1;4;1;1986;0;2;0; -1; -1; -1; -1
202000008358;154 727 551;A01;1;1;3;1;2000;0;0; -1; -1;0;0; -1
202000008388;154 727 492;B01;1;1;1;1;1945;0;1;8; -1; -1; -1; -1
202000008388;154 727 493;A01;1;1;4;1;1952;0;8;0; -1; -1; -1; -1
202000008467;154 727 361;A01;1;1;1;1;1994;0;1; -1; -1;0;0; -1
202000008467;154 727 362;B01;1;1;3;1;1959;0;0; -1; -1;0;0; -1
202000008571;154 727 188;A01;1;1;2;1;1998;0;8; -1; -1;0;0; -1
202000008594;154 727 141;A01;1;1;1;1;1971;9;1;8; -1; -1; -1; -1
202000008594;154 727 142;B01;1;1;4;1;1977;9;2;8; -1; -1; -1; -1
202000008595;154 727 140;A01;1;1;4;2;1996;1;2;8; -1; -1; -1; -1
202000008712;154 726 935;B01;1;1;4;1;1973;0;8;0; -1; -1; -1; -1
202000008712;154 726 936;A01;1;1;1;1;1980;1;1;0; -1; -1; -1; -1
202000009067;154 726 315;A01;2;2;4;2;2003;0;1;0; -1; -1; -1; -1
202000009067;154 726 315;A01;1;1;1;2;1978;0;1;8; -1; -1; -1; -1
202000009243;154 725 988;A01;1;1;4;1;1995;9;0; -1; -1;0;0; -1
202000009243;154 725 989;B01;1;1;3;1;1991;9;0; -1; -1;0;0; -1
202000009243;154 725 989;B01;2;2;3;2;2003;0;0; -1; -1;0;0; -1
202000009340;154 725 835;A01;10;3;2;1;1964;0;0; -1; -1;6;1;1
202000009512;154 725 533;B01;1;1;4;2;2003;0;2;8; -1; -1; -1; -1
202000009512;154 725 534;A01;1;1;1;1;1990;0;1;8; -1; -1; -1; -1
202000009954;154 724 747;A01;10;3;4;1;1999;0;0; -1; -1;9;9;1
202000010007;154 724 645;B01;1;1;1;2;1966;0;1;0; -1; -1; -1; -1
202000010007;154 724 646;A01;1;1;1;2;1996;0;1;0; -1; -1; -1; -1
202000010007;154 724 646;A01;2;2;4;2;1972;9;1;0; -1; -1; -1; -1
202000010008;154 724 643;B01;2;2;4;1;2000;0;2;0; -1; -1; -1; -1
202000010008;154 724 643;B01;1;1;4;1;1999;0;2;0; -1; -1; -1; -1
202000010008;154 724 644;A01;1;1;1;1;1994;0;1;0; -1; -1; -1; -1
202000010009;154 724 641;B01;1;1;4;2;1979;0;2;0; -1; -1; -1; -1
202000010009;154 724 642;A01;1;1;1;2;1980;0;1;0; -1; -1; -1; -1
