Num_Acc;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
202000000453;19;10;2020;15:50;1;973;97302;1;1;1;3;ROUTE NATIONALE 1;4,9009316; -52,3252845
202000000454;19;10;2020;10:00;1;973;97302;2;1;1;3;MANDELA  (BOULEVARD);4,9396453; -52,3265306
202000000455;18;10;2020;23:36;5;973;97302;2;9;1;6;LIBERTE (AVENUE DE LA);4,9357147; -52,3304129
202000000639;24;8;2020;10:49;1;973;97302;2;9;1;3;BADUEL (ROUTE DE);4,9278048; -52,2919393
202000000640;24;8;2020;09:01;1;973;97302;2;1;1;3;CABASSOU (ROUTE DE);4,8852605; -52,2993422
202000000833;21;10;2020;06:55;1;973;97302;2;1;1;3;MADELEINE (ROUTE DE LA);4,9259663; -52,3242760
202000000834;5;9;2020;10:30;1;973;97302;2;1;1;7;HEDER (place);4,9394185; -52,3348224
202000000847;5;9;2020;18:21;2;973;97302;1;1;1;6;ZONE COLLERY I OU II;4,9066399; -52,3248339
202000000848;5;9;2020;16:50;1;973;97302;1;6;1;3;MARINGOUINS (ROND-POINT);4,9077302; -52,3225272
202000000854;30;8;2020;22:00;5;973;97302;2;9;1;7;MONTABO (ROUTE DE) 1;4,9411800; -52,3028600
202000000855;4;1;2020;06:28;2;973;97302;2;1;1;3;FLAMBOYANTS (RUE DES);4,9234008; -52,3202741
202000001539;19;9;2020;12:00;1;973;97309;2;1;1;1;Rue des Kikiwis;4,8838870; -52,2796710
202000001544;20;9;2020;00:15;3;973;97305;1;1;1;5;N1;5,0696560; -52,5418140
202000001545;20;9;2020;02:00;3;973;97305;1;1;1;5;N1;4,9234760; -52,3883380
202000001579;8;8;2020;20:14;5;973;97302;2;9;1;3;TIGRE (ROUTE DU);4,9182700; -52,3152208
202000002076;18;10;2020;05:50;2;973;97307;1;1;1;2;N2;4,8271977; -52,3385686
202000002210;22;8;2020;17:00;1;973;97311;1;1;1;5;Route Apatou;5,4032170; -54,0623470
202000002212;23;8;2020;19:20;5;973;97304;2;1;1;1;Avenue de Pariacabo;5,1558720; -52,6596590
202000002470;18;7;2020;13:15;1;973;97312;1;1;8;7;Barrage de Petit Saut;5,0606320; -53,0507030
202000002601;9;12;2020;13:50;1;973;97302;2;9;1; -1;RABAN (ROUTE DE);4,9346138; -52,3140085
202000002602;4;12;2020;10:14;1;973;97302;2;3;1;3;ZEPHIR (ROCADE);4,9379938; -52,3064141
202000002772;28;11;2020;18:15;2;973;97302;2;1;1;7;MANDELA  (BOULEVARD);4,9378312; -52,3260999
202000002870;27;11;2020;12:00;1;973;97302;2;1;1;1;REPUBLIQUE (BD DE LA);4,9383656; -52,3217440
202000002960;19;5;2020;19:48;5;973;97302;1;6;1;3;MADELEINE (ROUTE DE LA);4,9249828; -52,3237610
202000002961;19;5;2020;09:38;1;973;97302;2;3;1;3;FELIX EBOUE(ROCADE);4,9296166; -52,3151082
202000003691;2;2;2020;18:05;1;973;97309;2;1;1;7;Rue Georges Guéril;4,8844030; -52,2815750
202000004022;21;7;2020;19:55;5;973;97302;2;9;1;3;JADFARD (RENE);4,9351375; -52,3287606
202000004049;16;10;2020;14:05;1;973;97302;2;1;1;6;MANGUES (RUE DES - CITE MANGUIERS);4,9343252; -52,3230743
202000004220;22;8;2020;14:25;1;973;97305;1;1;1;1;RN 1 - PK 20;4,9519190; -52,4259420
202000004493;27;11;2020;18:30;5;973;97302;2;1;1;6;MADELEINE (ROUTE DE LA);4,9151600; -52,3209700
202000004494;30;11;2020;13:03;1;973;97302;2;3;1;3;BARTHELEMY (RENE);4,9355777; -52,3309476
202000004495;29;11;2020;23:25;5;973;97302;2;1;1;7;MADELEINE (ROUTE DE LA);4,9393063; -52,3264861
202000004496;29;11;2020;09:40;1;973;97302;2;1;1;6;MERE THERESA (rue);4,9194300; -52,3126700
202000004739;26;11;2020;18:10;5;973;97302;2;9;1;5;BADUEL (ROUTE DE);4,9292157; -52,3024750
202000004740;26;11;2020;17:20;1;973;97302;1;1;1;2;ROUTE NATIONALE 1;4,9267786; -52,3289108
202000004741;25;11;2020;23:45;5;973;97302;2;1;1;1;MADELEINE (ROUTE DE LA);4,9227100; -52,3235000
202000005099;3;3;2020;18:00;1;973;97302;2;1;1;3;BADUEL (ROUTE DE);4,9291089; -52,2964883
202000005100;3;3;2020;08:02;1;973;97302;2;1;1;3;BADUEL (ROUTE DE);4,9301564; -52,3045778
202000005183;17;9;2020;12:40;1;973;97302;2;1;1;6;RABAN (ROUTE DE);4,9345176; -52,3139763
202000005184;17;9;2020;07:57;1;973;97302;2;1;1;3;CABASSOU (ROUTE DE);4,9174000; -52,3127400
202000005185;16;9;2020;12:31;1;973;97302;2;2;1;5;CABASSOU (ROUTE DE);4,9192600; -52,3175800
202000005307;17;9;2020;16:45;1;973;97353;2;1;1;3;lucien vochel;3,6442931; -54,0330577
202000005420;20;6;2020;14:10;1;973;97302;2;1;1;2;MONTABO (ROUTE DE) 4;4,9402202; -52,3017723
202000005421;20;6;2020;03:35;3;973;97302;1;1;2;6;ZONE COLLERY I OU II;4,9024923; -52,3151994
202000005481;30;1;2020;21:10;5;973;97302;2;1;2;3;ESTREES (AVENUE D');4,9402041; -52,3258316
202000005629;19;6;2020;12:55;1;973;97302;2;9;1;3;CABASSOU (ROUTE DE);4,9203009; -52,3205853
202000005759;29;1;2020;09:45;1;973;97302;2;1;1;2;REPUBLIQUE (BD DE LA);4,9373000; -52,3253900
202000005908;21;7;2020;20:55;3;973;97307;2;1;1;6;Rue du Champ de Canne;4,8884620; -52,3181930
202000005976;15;10;2020;17:15;1;973;97302;2;1;1;3;MANDELA  (BOULEVARD);4,9374700; -52,3258000
202000006125;15;10;2020;15:30;1;973;97305;1;4;1;3;PK 16+300 - RN 1;4,9417860; -52,4134110
202000006217;20;8;2020;20:30;4;973;97302;2;1;1;1;RABAN (ROUTE DE);4,9340045; -52,3136330
202000006597;26;11;2020;13:30;1;973;97311;2;1;1;2;avenue symphorien;5,4956830; -54,0302790
202000006620;25;11;2020;10:13;1;973;97302;2;1;1;6;MALOUET;4,9354100; -52,3334000
202000006723;24;11;2020;13:10;1;973;97302;2;1;1;6;ARAGO (FRANCOIS);4,9386238; -52,3316915
202000006724;24;11;2020;10:10;1;973;97302;2;2;1;3;FLAMBOYANTS (RUE DES);4,9257300; -52,3157700
202000006725;24;11;2020;06:50;2;973;97302;2;1;3;3;CABASSOU (ROUTE DE);4,9196800; -52,3188100
