Num_Acc;id_usager;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp
202300000073;203 851 008;155 680 428;A01;1;1;3;1;1960;1;2;0; -1;0;0; -1
202300000154;203 850 821;155 680 280;B01;1;1;3;1;1971;1;2; -1; -1;0;0; -1
202300000154;203 850 823;155 680 282;A01;1;1;1;2;1998;1;1; -1; -1;0;0; -1
202300000189;203 850 742;155 680 223;B01;1;1;3;2;2003;0;2;0; -1;0;0; -1
202300000189;203 850 743;155 680 223;B01;2;2;3;2;2004;0;2;0; -1;0;0; -1
202300000189;203 850 745;155 680 225;A01;1;1;1;1;1989;0;1;0; -1;0;0; -1
202300000190;203 850 735;155 680 220;A01;1;1;3;1;1968;9;2;0; -1;0;0; -1
202300000190;203 850 739;155 680 221;B01;1;1;1;2;1986;2;1;0; -1;0;0; -1
202300000190;203 850 740;155 680 221;B01;4;2;1;1;2017;9;8;0; -1;0;0; -1
202300000192;203 850 733;155 680 218;A01;1;1;4;1;2000;0;2;0; -1;0;0; -1
202300000194;203 850 730;155 680 215;A01;1;1;4;1;1982;5;2;8; -1;0;0; -1
202300000194;203 850 731;155 680 216;B01;1;1;1;1;1964;1;1;8; -1;0;0; -1
202300000224;203 850 663;155 680 158;A01;1;1;4;1;1944;0;2;8; -1;0;0; -1
202300000224;203 850 665;155 680 160;B01;1;1;1;1;1940;0;1;8; -1;0;0; -1
202300000356;203 850 329;155 679 913;A01;1;1;2;1;1994;0;9;8; -1;0;0; -1
202300000439;203 850 129;155 679 766;A01;1;1;4;1;1971;0;1;0; -1;0;0; -1
202300000439;203 850 130;155 679 767;B01;1;1;1;1;2003;0;1;0; -1;0;0; -1
202300000439;203 850 131;155 679 768;C01;1;1;1;1;1980;0;1;0; -1;0;0; -1
202300000996;203 848 831;155 678 806;A01;4;2;2;1;1987;4;0; -1; -1;0;0; -1
202300000996;203 848 832;155 678 806;A01;3;2;4;1;1991;4;0; -1; -1;0;0; -1
202300000996;203 848 834;155 678 806;A01;2;2;4;1;1980;4;1; -1; -1;0;0; -1
202300000996;203 848 836;155 678 806;A01;1;1;4;1;1992;4;1; -1; -1;0;0; -1
202300001313;203 848 082;155 678 249;A01;1;1;1;1;1988;0;8;0; -1;0;0; -1
202300001313;203 848 083;155 678 251;B01;2;2;1;1;1974;0;1;0; -1; -1; -1; -1
202300001313;203 848 085;155 678 251;B01;1;1;4;2;1988;0;1;0; -1;0;0; -1
202300001313;203 848 088;155 678 251;B01;4;2;1;1;2020;0;3;8; -1; -1; -1; -1
202300001555;203 847 523;155 677 823;A01;1;1;4;1;1985;9;2;0; -1;0;0; -1
202300001555;203 847 525;155 677 826;B01;1;1;1;1;1991;9;1;0; -1;0;0; -1
202300001557;203 847 514;155 677 817;A01;1;1;1;2;1994;9;1;8; -1;0;0; -1
202300001557;203 847 516;155 677 820;B01;1;1;1;1;1977;0;1;8; -1;0;0; -1
202300001557;203 847 519;155 677 821;C01;1;1;4;2;1972;9;1;8; -1;0;0; -1
202300001560;203 847 509;155 677 813;B01;2;2;4;1;1996;0;1;0; -1; -1; -1; -1
202300001560;203 847 510;155 677 813;B01;1;1;4;1;1993;0;1;0; -1;0;0; -1
202300001781;203 846 986;155 677 421;Z01;1;1;1; -1;; -1; -1; -1; -1;0;0; -1
202300001781;203 846 987;155 677 421;Z01;10;3;4;2;2018;5;8;8; -1;1;3;1
