Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
202300000073;3;TIGRE (ROUTE DU);0;;2;2;0;1;1;900;1;; -1;1;0;1;50
202300000154;3;D23; -1;;3;2;0;1;3;350;2;; -1;1;0;1;50
202300000189;4;BERNARD (DU CAPITAINE);0;;2;2;0;1; -1; -1;1;; -1;1;0;1;50
202300000190;4;ARAGO (FRANCOIS);0;;2;2;0;1; -1; -1;1;; -1;1;0;1;50
202300000190;4;SCHOELCHER (RUE);0;;1;2;0;1; -1; -1;1;; -1;1;0;1;50
202300000192;3;FELIX EBOUE(ROCADE);0;;2;2;0;1;0;750;3;; -1;2;0;4;50
202300000194;4;FLAMBOYANTS (RUE DES);0;;2;2;0;1; -1; -1;1;; -1;1;0;1;50
202300000224;3;BADUEL (ROUTE DE);0;;2;2;2;1;3;50;1;; -1;1;0;1;50
202300000224;3;TROUBIRAN (CHEMIN DE);0;;2;2;0;1; -1; -1;1;; -1;1;0;1;50
202300000356;2;2;0;;2;2;0;1;8;100;3;;7;1;0;3;80
202300000439;3;MADELEINE (ROUTE DE LA);0;;2;2;0;1;2;600;1;; -1;1;0;1;50
202300000996;5;;0;;2;2;0;1; -1; -1;4;; -1;2;0;3;80
202300001313;4;ARAGO (FRANCOIS);0;;2;2;0;1; -1; -1;1;; -1;1;0;1;50
202300001555;3;VIRGILE (AVENUE);0;;2;2;0;1; -1; -1;1;; -1;1;0;1;50
202300001555;3;VIRGILE (AVENUE);0;;2;2;0;1;0;950;1;; -1;1;0;1;50
202300001557;3;BADUEL (ROND POINT DE);0;;2;2;0;1;2;400;1;; -1;1;0;1;50
202300001560;3;SAINT ANTOINE (CHEMIN);0;; -1;2;0;1; -1; -1;1;; -1;1;0;1;50
202300001560;3;SAINT ANTOINE (CHEMIN);0;; -1;2;0;1;3;250;1;; -1;1;0;1;50
202300001781;4;BONHOMME (CITE);0;;1;1;0;1; -1; -1;1;; -1;1;0;1;50
202300001783;3;BADUEL (ROUTE DE);0;;2;2;0;2;2;100;1;; -1;1;0;1;50
202300002338;3;BADUEL (ROUTE DE);0;;2;2;0;1;3;600;1;; -1;1;0;1;50
202300002338;3;SAINT ANTOINE (CHEMIN);0;;2;2;0;1; -1; -1;1;; -1;1;0;1;50
202300002462;2;RN 2;0;;2;2;0;1;137;0;1;; -1;2;2;1;50
202300002517;3;TIGRE (ROUTE DU);0;;2;2;0;1;2;100;2;; -1;1;0;1;50
202300002959;3;9;0;D;2;2;0;1;8;100;1;; -1;1;0;1;80
202300003175;3;BADUEL (ROUTE DE);0;;3;2;0;1;2;950;1;; -1;1;0;1;50
202300003176;3;MADELEINE (ROUTE DE LA);0;;2;2;0;1;1;900;1;; -1;2;0;1;50
202300003190;3;MONTABO (ROUTE DE) 1;0;;2;2;0;1;2;300;1;; -1;1;0;3;50
202300003257;3;BADUEL (ROUTE DE);0;;2;2;0;1; -1; -1;1;; -1;1;0;1;50
202300003257;3;BADUEL (ROUTE DE);0;;2;2;0;1;4;500;1;; -1;1;0;1;50
202300003259;4;14 ET 22 JUIN 1962;0;;2;2;0;1; -1; -1;1;; -1;1;0;1;50
