Num_Acc;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
202300000073;28;03;2023;23:29;1;973;97309;2;1;1;7;TIGRE (ROUTE DU);4,91229000; -52,30814000
202300000154;1;12;2023;07:30;1;973;97309;1;6;1;3;Cabassou;4,90091544; -52,30593073
202300000189;27;03;2023;16:08;1;973;97302;2;1;1;3;BERNARD (DU CAPITAINE);4,93691000; -52,33059000
202300000190;27;03;2023;12:00;1;973;97302;2;2;1;3;SCHOELCHER (RUE);4,94192220; -52,33251733
202300000192;26;03;2023;04:00;3;973;97302;2;6;2;7;FELIX EBOUE(ROCADE);4,92468782; -52,32331681
202300000194;25;03;2023;12:49;1;973;97302;2;1;1;3;FLAMBOYANTS (RUE DES);4,92460311; -52,31780273
202300000224;28;11;2023;12:25;1;973;97302;2;3;1;3;BADUEL (ROUTE DE);4,92996828; -52,30413044
202300000356;11;06;2023;03:00;3;973;97307;1;1;5;7;RN2 PK8;4,82359900; -52,34030500
202300000439;9;06;2023;16:20;1;973;97302;2;1;1;5;MADELEINE (ROUTE DE LA);4,91710000; -52,32148000
202300000996;29;03;2023;08:30;1;973;97304;1;1;3;7;Route de l?Espace;5,28090100; -52,82108500
202300001313;26;03;2023;21:00;5;973;97302;2;1;1;2;ARAGO (FRANCOIS);4,93613499; -52,33109003
202300001555;8;06;2023;17:25;1;973;97302;2;3;1;2;VIRGILE (AVENUE);4,94053967; -52,32020608
202300001557;8;06;2023;09:00;1;973;97302;2;6;1;5;BADUEL (ROND POINT DE);4,93333464; -52,30958068
202300001560;3;06;2023;16:45;1;973;97302;2;3;1;3;SAINT ANTOINE (CHEMIN);4,93552973; -52,29510185
202300001781;25;10;2023;19:05;1;973;97302;2;1;1;6;BONHOMME (CITE);4,92212035; -52,31770188
202300001783;23;10;2023;19:00;5;973;97302;2;9;1;3;BADUEL (ROUTE DE);4,93471000; -52,31170000
202300002338;4;05;2023;16:15;1;973;97302;2;3;1;3;BADUEL (ROUTE DE);4,92895000; -52,29993000
202300002462;23;03;2023;15:10;1;973;97301;1;1;1;1;route nationale 2, PK 137;4,11266475; -52,07334495
202300002517;24;03;2023;23:30;3;973;97302;2;1;1;7;TIGRE (ROUTE DU);4,91022834; -52,30819952
202300002959;23;08;2023;21:30;3;973;97311;1;1;1;5;Route départementale 9, PK 8+100;5,55025200; -53,93691100
202300003175;7;06;2023;16:40;1;973;97302;2;1;1;3;BADUEL (ROUTE DE);4,93035202; -52,30482924
202300003176;7;06;2023;12:10;1;973;97302;2;1;3;7;MADELEINE (ROUTE DE LA);4,92254026; -52,32331279
202300003190;12;02;2023;17:23;1;973;97302;2;1;1;7;MONTABO (ROUTE DE) 1;4,94044106; -52,30196536
202300003257;3;02;2023;11:30;1;973;97302;2;3;9;7;BADUEL (ROUTE DE);4,92771000; -52,29168000
202300003259;11;02;2023;12:05;1;973;97302;2;1;1;3;14 ET 22 JUIN 1962;4,93498610; -52,32736185
202300003362;24;10;2023;12:45;1;973;97302;2;1;1;2;ROUTE NATIONALE 3;4,94013910; -52,31958210
202300003365;24;10;2023;03:45;5;973;97302;1;9;1;7;ROUTE NATIONALE 1;4,92067000; -52,33003000
202300003367;23;10;2023;09:35;1;973;97302;2;3;1;3;FLAMBOYANTS (RUE DES);4,92588563; -52,31504381
202300003433;20;08;2023;22:40;3;973;97307;1;1;1;2;Route du Larivot;4,90488700; -52,36581800
202300003471;23;09;2023;18:30;5;973;97302;2;1;1;3;MONTABO (ROUTE DE) 1;4,94274000; -52,30597000
202300003718;25;10;2023;08:40;1;973;97309;2;2;1;1;Route de Montjoly;4,91782100; -52,27729400
202300003721;24;10;2023;19:01;5;973;97309;2;1;1;1;Route de Rémire (rd2);4,90642600; -52,27298100
202300003774;21;09;2023;14:50;1;973;97302;2;1;1;1;HAMEAU DES ENCENS (RUE DU) Cité St Marti;4,93817010; -52,31402323
