Num_Acc;id_vehicule;num_veh;senc;catv;obs;obsm;choc;manv;motor;occutc
202300000073;155 680 428;A01;1;30;0;0;2;26;1;
202300000154;155 680 280;B01;1;33;0;2;0;1;1;
202300000154;155 680 282;A01;1;7;0;2;2;12;1;
202300000189;155 680 223;B01;1;2;0;2;2;0;1;
202300000189;155 680 225;A01;1;7;0;2;3;0;1;
202300000190;155 680 220;A01;1;33;0;2;3;19;1;
202300000190;155 680 221;B01;2;7;0;2;3;1;1;
202300000192;155 680 218;A01;1;30;0;0;0;26;1;
202300000194;155 680 215;A01;1;30;0;2;7;17;1;
202300000194;155 680 216;B01;1;7;0;2;3;1;1;
202300000224;155 680 158;A01;1;30;0;2;8;18;1;
202300000224;155 680 160;B01;1;7;0;2;2;1;1;
202300000356;155 679 913;A01;1;7;8;0;7;1;1;
202300000439;155 679 766;A01;1;7;0;2;1;1;1;
202300000439;155 679 767;B01;1;7;0;2;4;1;2;
202300000439;155 679 768;C01;1;7;0;2;4;1;1;
202300000996;155 678 806;A01;1;14;13;0;1;1;1;
202300001313;155 678 249;A01;1;7;0;2;1;1;1;
202300001313;155 678 251;B01;1;7;0;2;4;23;1;
202300001555;155 677 823;A01;2;30;0;2;1;2;1;
202300001555;155 677 826;B01;2;7;0;2;4;16;1;
202300001557;155 677 817;A01;2;7;14;0;1;2;1;
202300001557;155 677 820;B01;2;7;1;0;4;23;0;
202300001557;155 677 821;C01;2;7;0;2;4;23;1;
202300001560;155 677 812;A01;3;7;0;2;1;9;1;
202300001560;155 677 813;B01;1;7;0;2;5;0;1;
202300001781;155 677 421;Z01;3;50;0;1;1;1;3;
202300001783;155 677 416;A01;2;31;0;2;1;1;1;
202300001783;155 677 417;B01;1;7;0;2;7;15;1;
202300002338;155 676 444;B01;1;1;0;2;1;2;5;
202300002338;155 676 446;A01;1;7;0;9;5;19;1;
202300002462;155 676 219;A01;1;7;0;0;1;1;1;
202300002462;155 676 221;B01;2;10;0;0;1;1;1;
202300002517;155 676 121;A01;2;7;6;0;1;14;0;
202300002959;155 675 351;A01;1;7;0;0;6;1;1;
202300002959;155 675 354;B01;1;34;0;2;1;1;1;
202300002959;155 675 356;C01;2;7;14;0;1;1;1;
202300003175;155 674 986;B01;1;7;0;2;5;13;1;
202300003175;155 674 988;A01;1;30;0;2;3;13;1;
202300003176;155 674 985;A01;2;30;0;0;0;0;1;
202300003190;155 674 960;A01;2;7;1;0;1;14;1;
202300003257;155 674 840;A01;1;33;0;0;0;0;1;
202300003259;155 674 836;A01;1;30;0;2;1;2;1;
202300003259;155 674 838;B01;1;7;0;2;3;2;1;
202300003362;155 674 643;A01;1;7;0;2;1;2;1;
202300003362;155 674 647;B01;1;7;0;2;4;2;1;
202300003365;155 674 636;A01;1;7;0;0;0;26;0;
202300003367;155 674 630;B01;3;2;1;2;3;0;1;
202300003367;155 674 633;A01;3;10;1;2;5;16;1;
202300003433;155 674 506;B01;1;7;0;0;5;23;1;
202300003433;155 674 507;A01;1;34;10;2;3;2;1;
