codgeo;annee;pop_6_16;nb_non_sco;pop_15_64;nb_peu_dipl
97301;2022;157.88;2.77;1296.04;459.88
97302;2022;12094.14;534.99;43061.97;16436.46
97303;2022;400.33;14.67;1069.2;482.0
97304;2022;5512.21;201.46;15815.1;5039.28
97305;2022;4571.07;143.48;11519.13;4082.04
97306;2022;3125.17;141.16;6593.71;3144.22
97307;2022;7761.98;220.85;23001.04;8599.86
97308;2022;1241.15;97.1;2831.02;1625.96
97309;2022;4963.9;148.6;18595.94;4687.93
97310;2022;575.03;38.79;2377.81;947.52
97311;2022;14731.25;634.96;28085.56;11180.26
97312;2022;647.86;24.69;1813.07;720.47
97313;2022;805.95;24.72;2183.09;580.24
97314;2022;34.45;1.44;143.5;57.35
97352;2022;20.24;0.0;244.47;94.17
97353;2022;1680.63;103.44;5436.29;3416.26
97356;2022;527.4;49.39;1294.36;876.76
97357;2022;2856.04;707.31;5118.29;3993.53
97358;2022;8.36;0.0;132.73;112.67
97360;2022;3133.91;569.69;5346.77;3263.77
97361;2022;375.0;19.67;971.28;365.0
97362;2022;965.65;99.28;3785.27;3264.94
