2020;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Auvergne-Rhône-Alpes;1125519.4044831097;84
2020;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Bourgogne-Franche-Comté;363260.41785663366;27
2020;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Bretagne;445662.1223282814;53
2020;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Centre-Val de Loire;343639.4027606845;24
2020;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Corse;47631.23116874695;94
2020;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Grand Est;759154.105425179;44
2020;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Guadeloupe;61046.15188694;1
2020;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Guyane;49431.67460656166;3
2020;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Hauts-de-France;879685.9813333154;32
2020;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Martinique;53883.99440634251;2
2020;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Normandie;455056.1553568244;28
2020;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Nouvelle-Aquitaine;780102.5285733938;75
2020;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Occitanie;795963.8767275214;76
2020;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Pays de la Loire;527043.2143815756;52
2020;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Provence-Alpes-Côte d'Azur;702781.6617161632;93
2020;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Réunion;151193.01073861122;4
2020;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Île-de-France;1851212.5519039342;11
2021;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Auvergne-Rhône-Alpes;1129086.568829894;84
2021;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Bourgogne-Franche-Comté;361863.701761961;27
2021;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Bretagne;448352.42494529486;53
2021;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Centre-Val de Loire;342328.76772105694;24
2021;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Corse;48118.84309998155;94
2021;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Grand Est;755127.4549626112;44
2021;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Guadeloupe;61247.516966700554;1
2021;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Guyane;50203.38953816891;3
2021;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Hauts-de-France;878404.2758499384;32
2021;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Martinique;53056.8497736454;2
2021;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Normandie;455331.89035642147;28
2021;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Nouvelle-Aquitaine;784941.8603492975;75
2021;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Occitanie;801343.7367424965;76
2021;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Pays de la Loire;535107.5520375967;52
2021;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Provence-Alpes-Côte d'Azur;706851.396778822;93
2021;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Réunion;150816.16523003578;4
2021;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Île-de-France;1858609.9392536879;11
2022;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Auvergne-Rhône-Alpes;1125094.1800672412;84
2022;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Bourgogne-Franche-Comté;359621.51247400045;27
2022;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Bretagne;447359.92561244965;53
2022;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Centre-Val de Loire;341227.93295514584;24
2022;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Corse;48263.78234064579;94
2022;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Grand Est;748734.9482061267;44
2022;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Guadeloupe;60196.636764883995;1
2022;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Guyane;50581.15815806389;3
2022;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Hauts-de-France;871309.6182591915;32
2022;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Martinique;52412.87778568268;2
2022;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Normandie;451958.9471747279;28
2022;Type famille : avec enfant(s), sans enfant#Famille avec enfant(s);nombre0_4plus;Nouvelle-Aquitaine;781315.560082078;75
