Date_RP#Annee;Type_famille_RP#type_famille_3postes;Nombre_enfants_moins_25ans#nombre0_4plus;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Nombre_de_familles_selon_type_de_famille_et_nombre_d’enfant_s__de_moins_de_25_ans
;Famille monoparentale;1§2§3§4 ou plus;;;;Famille monoparentale;1§2§3§4 ou plus;;;;Famille monoparentale;1§2§3§4 ou plus;;
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;97304 - Kourou;2280.985719203949
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;97305 - Macouria;1983.530485868454
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;97306 - Mana;669.454913854599
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;97307 - Matoury;3506.586455821991
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;97308 - Saint-Georges;180.5154128074646
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;97309 - Remire-Montjoly;2068.0914187431335
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;97310 - Roura;200.15957593917847
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;97311 - Saint-Laurent-du-Maroni;5805.737422943115
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;97312 - Sinnamary;244.02118825912476
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;97313 - Montsinéry-Tonnegrande;253.3941411972046
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;97314 - Ouanary;11.385078430175781
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;97352 - Saül;7.527867794036865
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;97353 - Maripasoula;579.9096279144287
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;97356 - Camopi;43.81522083282471
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;97357 - Grand-Santi;804.924663066864
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;97358 - Saint-Élie;0.0
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;97360 - Apatou;1416.1091136932373
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;97361 - Awala-Yalimapo;87.62264251708984
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;97362 - Papaichton;400.53414487838745

Date_RP#Annee;Type_famille_RP#type_famille_3postes;Nombre_enfants_moins_25ans#nombre0_4plus;Lieu_domicile#Regions_France_2017;Nombre_de_familles_selon_type_de_famille_et_nombre_d’enfant_s__de_moins_de_25_ans_0
;Famille monoparentale;1§2§3§4 ou plus;;;;Famille monoparentale;1§2§3§4 ou plus;;;;Famille monoparentale;1§2§3§4 ou plus;;
2020;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Auvergne-Rhône-Alpes;262969.78651437163
2020;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Bourgogne-Franche-Comté;89087.58149886131
2020;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Bretagne;100309.81657963991
2020;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Centre-Val de Loire;82970.57348042727
2020;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Corse;13415.184181272984
2020;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Grand Est;186540.78406471014
2020;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Guadeloupe;33800.540612101555
2020;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Guyane;26300.503427267075
2020;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Hauts-de-France;221259.50866103172
2020;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Martinique;30484.768871307373
2020;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Normandie;111476.5602863431
2020;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Nouvelle-Aquitaine;199924.4161630869
2020;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Occitanie;221836.6692274809
2020;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Pays de la Loire;111125.82920116186
2020;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Provence-Alpes-Côte d'Azur;205345.80384242535
2020;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Réunion;63542.37457084656
2020;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Île-de-France;494888.84375301097
2021;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Auvergne-Rhône-Alpes;269831.33145081997
