;;;Date_deces_Cim10#Annee;Cause_deces#Causes_de_deces_alphabetique;Lieu_domicile#commune;Nb_deces_standardises
;;;2018;Cancer du côlon-rectum;97309 - Remire-Montjoly;19,90
;;;2018;Cancer du sein;97309 - Remire-Montjoly;36,58
;;;2018;Cardiopathies ischémiques;97309 - Remire-Montjoly;74,99
;;;2018;Chap 10 : Maladies de l'appareil respiratoire;97309 - Remire-Montjoly;48,56
;;;2018;Diabète;97309 - Remire-Montjoly;150,00
;;;2018;Maladie chronique du foie;97309 - Remire-Montjoly;42,06
;;;2018;Maladie de Parkinson;97309 - Remire-Montjoly;41,65
;;;2018;Maladie hypertensive;97309 - Remire-Montjoly;273,66
;;;2018;Maladies vasculaires cérébrales;97309 - Remire-Montjoly;83,47
;;;2018;Sida;97309 - Remire-Montjoly;10,00
;;;2018;Alzheimer;97310 - Roura;0,00
;;;2018;Asthme;97310 - Roura;0,00
;;;2018;Cancer de la prostate;97310 - Roura;48,00
;;;2018;Cancer de la trachée, des bronches et du poumon;97310 - Roura;0,00
;;;2018;Cancer du côlon-rectum;97310 - Roura;0,00
;;;2018;Cancer du sein;97310 - Roura;0,00
;;;2018;Cardiopathies ischémiques;97310 - Roura;0,00
;;;2018;Chap 10 : Maladies de l'appareil respiratoire;97310 - Roura;118,88
;;;2018;Diabète;97310 - Roura;0,00
;;;2018;Maladie chronique du foie;97310 - Roura;0,00
;;;2018;Maladie de Parkinson;97310 - Roura;0,00
;;;2018;Maladie hypertensive;97310 - Roura;0,00
;;;2018;Maladies vasculaires cérébrales;97310 - Roura;0,00
;;;2018;Sida;97310 - Roura;0,00
;;;2018;Alzheimer;97311 - Saint-Laurent-du-Maroni;0,00
;;;2018;Asthme;97311 - Saint-Laurent-du-Maroni;0,00
;;;2018;Cancer de la prostate;97311 - Saint-Laurent-du-Maroni;422,02
;;;2018;Cancer de la trachée, des bronches et du poumon;97311 - Saint-Laurent-du-Maroni;88,63
;;;2018;Cancer du côlon-rectum;97311 - Saint-Laurent-du-Maroni;18,14
;;;2018;Cancer du sein;97311 - Saint-Laurent-du-Maroni;39,15
;;;2018;Cardiopathies ischémiques;97311 - Saint-Laurent-du-Maroni;330,55
;;;2018;Chap 10 : Maladies de l'appareil respiratoire;97311 - Saint-Laurent-du-Maroni;197,20
;;;2018;Diabète;97311 - Saint-Laurent-du-Maroni;212,61
;;;2018;Maladie chronique du foie;97311 - Saint-Laurent-du-Maroni;36,22
;;;2018;Maladie de Parkinson;97311 - Saint-Laurent-du-Maroni;0,00
;;;2018;Maladie hypertensive;97311 - Saint-Laurent-du-Maroni;488,23
;;;2018;Maladies vasculaires cérébrales;97311 - Saint-Laurent-du-Maroni;663,05
;;;2018;Sida;97311 - Saint-Laurent-du-Maroni;18,14
;;;2018;Alzheimer;97312 - Sinnamary;0,00
;;;2018;Asthme;97312 - Sinnamary;0,00
;;;2018;Cancer de la prostate;97312 - Sinnamary;0,00
;;;2018;Cancer de la trachée, des bronches et du poumon;97312 - Sinnamary;0,00
;;;2018;Cancer du côlon-rectum;97312 - Sinnamary;298,79
;;;2018;Cancer du sein;97312 - Sinnamary;0,00
;;;2018;Cardiopathies ischémiques;97312 - Sinnamary;0,00
