Date_RP#Annee;Age_personne#age_0_65;Sexe_personne#sexe;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Population__totale_ou_par_âge_et_ou_genre_
;3§4§5§6§7§8§9§10§11§12§13§14§15;masculin§feminin;;;;3§4§5§6§7§8§9§10§11§12§13§14§15;masculin§feminin;;;;3§4§5§6§7§8§9§10§11§12§13§14§15;masculin§feminin;;
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97301 - Régina;195.46722292900085
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97302 - Cayenne;15439.470886230469
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97303 - Iracoubo;500.2668170928955
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97304 - Kourou;6744.911926269531
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97305 - Macouria;5711.70686340332
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97306 - Mana;3817.6143493652344
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97307 - Matoury;8931.563079833984
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97308 - Saint-Georges;1512.408058166504
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97309 - Remire-Montjoly;5260.445205688477
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97310 - Roura;692.634614944458
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97311 - Saint-Laurent-du-Maroni;17120.61590576172
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97312 - Sinnamary;814.5705299377441
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97313 - Montsinéry-Tonnegrande;831.0
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97314 - Ouanary;93.10000157356262
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97352 - Saül;37.243420124053955
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97353 - Maripasoula;2614.293037414551
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97356 - Camopi;709.1358261108398
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97357 - Grand-Santi;3170.6299438476562
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97358 - Saint-Élie;0.9997243285179138
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97360 - Apatou;3541.0
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97361 - Awala-Yalimapo;410.1823511123657
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97362 - Papaichton;1267.754695892334
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97301 - Régina;204.97797298431396
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97302 - Cayenne;14610.847625732422
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97303 - Iracoubo;486.6398591995239
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97304 - Kourou;6578.473068237305
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97305 - Macouria;5530.205017089844
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97306 - Mana;3834.0245361328125
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97307 - Matoury;8899.476318359375
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97308 - Saint-Georges;1410.8887748718262
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97309 - Remire-Montjoly;5849.00764465332
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97310 - Roura;672.0208683013916
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97311 - Saint-Laurent-du-Maroni;17342.249145507812
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97312 - Sinnamary;798.5021533966064
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97313 - Montsinéry-Tonnegrande;876.6454696655273
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97314 - Ouanary;56.34630560874939
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97352 - Saül;28.56910014152527
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97353 - Maripasoula;2356.0199699401855
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97356 - Camopi;662.9565324783325
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97357 - Grand-Santi;3279.9834213256836
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97358 - Saint-Élie;1.0011959075927734
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97360 - Apatou;3645.243827819824
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97361 - Awala-Yalimapo;420.73320484161377
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97362 - Papaichton;1220.0338134765625
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97301 - Régina;198.54506635665894
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97302 - Cayenne;14728.40673828125
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97303 - Iracoubo;473.0
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97304 - Kourou;6360.905502319336
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97305 - Macouria;5491.642639160156
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97306 - Mana;3661.681266784668
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97307 - Matoury;9033.450469970703
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97308 - Saint-Georges;1472.9466018676758
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97309 - Remire-Montjoly;5813.169723510742
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97310 - Roura;651.0622406005859
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97311 - Saint-Laurent-du-Maroni;18034.8857421875
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97312 - Sinnamary;732.7117919921875
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97313 - Montsinéry-Tonnegrande;924.8806266784668
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97314 - Ouanary;43.06529760360718
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97352 - Saül;24.28344464302063
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97353 - Maripasoula;2085.1297645568848
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97356 - Camopi;661.8845872879028
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97357 - Grand-Santi;3393.0055236816406
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97358 - Saint-Élie;8.658081114292145
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97360 - Apatou;3751.147705078125
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97361 - Awala-Yalimapo;431.0
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97362 - Papaichton;1173.041612625122

Date_RP#Annee;Age_personne#age_0_65;Sexe_personne#sexe;Lieu_domicile#Regions_France_2017;Population__totale_ou_par_âge_et_ou_genre__0
;3§4§5§6§7§8§9§10§11§12§13§14§15;masculin§feminin;;;;3§4§5§6§7§8§9§10§11§12§13§14§15;masculin§feminin;;;;3§4§5§6§7§8§9§10§11§12§13§14§15;masculin§feminin;;
2020;Age : 0,1,2, ..., 65 ou +;Sexe;Auvergne-Rhône-Alpes;1294227.8336936235
2020;Age : 0,1,2, ..., 65 ou +;Sexe;Bourgogne-Franche-Comté;422107.12837052345
2020;Age : 0,1,2, ..., 65 ou +;Sexe;Bretagne;521288.36246317625
2020;Age : 0,1,2, ..., 65 ou +;Sexe;Centre-Val de Loire;403342.3887695074
2020;Age : 0,1,2, ..., 65 ou +;Sexe;Corse;46772.04676526785
2020;Age : 0,1,2, ..., 65 ou +;Sexe;Grand Est;841751.761090517
2020;Age : 0,1,2, ..., 65 ou +;Sexe;Guadeloupe;62485.40449786186
2020;Age : 0,1,2, ..., 65 ou +;Sexe;Guyane;79417.01446002722
2020;Age : 0,1,2, ..., 65 ou +;Sexe;Hauts-de-France;1022158.3396404386
2020;Age : 0,1,2, ..., 65 ou +;Sexe;Martinique;52708.69510769844
2020;Age : 0,1,2, ..., 65 ou +;Sexe;Normandie;524212.7650035322
2020;Age : 0,1,2, ..., 65 ou +;Sexe;Nouvelle-Aquitaine;860501.9893206954
2020;Age : 0,1,2, ..., 65 ou +;Sexe;Occitanie;878485.942391336
2020;Age : 0,1,2, ..., 65 ou +;Sexe;Pays de la Loire;632187.665897727
2020;Age : 0,1,2, ..., 65 ou +;Sexe;Provence-Alpes-Côte d'Azur;748820.2628903389
2020;Age : 0,1,2, ..., 65 ou +;Sexe;Réunion;172539.07200813293
2020;Age : 0,1,2, ..., 65 ou +;Sexe;Île-de-France;2051534.6256927848
2021;Age : 0,1,2, ..., 65 ou +;Sexe;Auvergne-Rhône-Alpes;1291438.6332045496
2021;Age : 0,1,2, ..., 65 ou +;Sexe;Bourgogne-Franche-Comté;417887.5777543187
2021;Age : 0,1,2, ..., 65 ou +;Sexe;Bretagne;517950.72340232134
2021;Age : 0,1,2, ..., 65 ou +;Sexe;Centre-Val de Loire;399630.0942737162
2021;Age : 0,1,2, ..., 65 ou +;Sexe;Corse;47138.87526169419
2021;Age : 0,1,2, ..., 65 ou +;Sexe;Grand Est;834966.6120886803
2021;Age : 0,1,2, ..., 65 ou +;Sexe;Guadeloupe;60994.3420470953
2021;Age : 0,1,2, ..., 65 ou +;Sexe;Guyane;78764.84582567215
2021;Age : 0,1,2, ..., 65 ou +;Sexe;Hauts-de-France;1012349.6816963553
2021;Age : 0,1,2, ..., 65 ou +;Sexe;Martinique;51703.32297706604
2021;Age : 0,1,2, ..., 65 ou +;Sexe;Normandie;519016.2534390092
2021;Age : 0,1,2, ..., 65 ou +;Sexe;Nouvelle-Aquitaine;857472.5056544542
2021;Age : 0,1,2, ..., 65 ou +;Sexe;Occitanie;879041.3203391135
2021;Age : 0,1,2, ..., 65 ou +;Sexe;Pays de la Loire;628495.0629947782
2021;Age : 0,1,2, ..., 65 ou +;Sexe;Provence-Alpes-Côte d'Azur;748379.5318722427
2021;Age : 0,1,2, ..., 65 ou +;Sexe;Réunion;171969.72903633118
2021;Age : 0,1,2, ..., 65 ou +;Sexe;Île-de-France;2052484.6541597247
2022;Age : 0,1,2, ..., 65 ou +;Sexe;Auvergne-Rhône-Alpes;1285669.172328353
2022;Age : 0,1,2, ..., 65 ou +;Sexe;Bourgogne-Franche-Comté;413071.03556343913
2022;Age : 0,1,2, ..., 65 ou +;Sexe;Bretagne;512981.29550492764
2022;Age : 0,1,2, ..., 65 ou +;Sexe;Centre-Val de Loire;396549.2759068012
2022;Age : 0,1,2, ..., 65 ou +;Sexe;Corse;47492.896832466125
2022;Age : 0,1,2, ..., 65 ou +;Sexe;Grand Est;825814.9942268729
2022;Age : 0,1,2, ..., 65 ou +;Sexe;Guadeloupe;59383.61814773083
2022;Age : 0,1,2, ..., 65 ou +;Sexe;Guyane;79148.50442630053
2022;Age : 0,1,2, ..., 65 ou +;Sexe;Hauts-de-France;1000662.0586537123
2022;Age : 0,1,2, ..., 65 ou +;Sexe;Martinique;50719.86847871542
2022;Age : 0,1,2, ..., 65 ou +;Sexe;Normandie;514936.999383688
