;;Date_RP#Annee;Age_personne#age_m3_35_612_1317_1824_2544_4559_6074_75ouPlus;Sexe_personne#sexe;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Population__totale_ou_par_âge_et_ou_genre_;;;;;
;;2022;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;97311 - Saint-Laurent-du-Maroni;4723,30;;;;;
;;2022;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;97312 - Sinnamary;135,63;;;;;
;;2022;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;97313 - Montsinéry-Tonnegrande;189,18;;;;;
;;2022;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;97314 - Ouanary;2,87;;;;;
;;2022;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;97352 - Saül;3,64;;;;;
;;2022;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;97353 - Maripasoula;527,17;;;;;
;;2022;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;97356 - Camopi;170,92;;;;;
;;2022;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;97357 - Grand-Santi;727,73;;;;;
;;2022;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;97358 - Saint-Élie;0,96;;;;;
;;2022;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;97360 - Apatou;912,00;;;;;
;;2022;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;97361 - Awala-Yalimapo;98,00;;;;;
;;2022;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;97362 - Papaichton;288,60;;;;;
;;;;;;;;;;;
;;Date_RP#Annee;Age_personne#age_m3_35_612_1317_1824_2544_4559_6074_75ouPlus;Sexe_personne#sexe;Lieu_domicile#Regions_France_2017;Population__totale_ou_par_âge_et_ou_genre__0;;;;;
;;;Moins de 3 ans;masculin§feminin;;;;Moins de 3 ans;masculin§feminin;;
11;11,ÃŽle-de-France;2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;Île-de-France;461129,03;2022;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;Île-de-France;453158,73
24;24,Centre-Val de Loire;2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;Centre-Val de Loire;76807,16;2022;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;Centre-Val de Loire;75424,72
27;27,Bourgogne-Franche-ComtÃ©;2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;Bourgogne-Franche-Comté;78436,29;2022;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;Bourgogne-Franche-Comté;76763,55
