;;Date_RP#Annee;Age_personne#age_m15_1524_2529_3034_3539_40plus;Sexe_personne#sexe;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Population__totale_ou_par_âge_et_ou_genre_;;;;;;;;;;
;;;15-24 ans§25-29 ans§30-34 ans§35-39 ans§40 ans et +;masculin§feminin;;;;15-24 ans§25-29 ans§30-34 ans§35-39 ans§40 ans et +;masculin§feminin;;;;15-24 ans§25-29 ans§30-34 ans§35-39 ans§40 ans et +;masculin§feminin;;
;;2021;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97357 - Grand-Santi;5328,82;;;;;;;;;;
;;2021;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97358 - Saint-Élie;241,00;;;;;;;;;;
;;2021;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97360 - Apatou;5559,78;;;;;;;;;;
;;2021;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97361 - Awala-Yalimapo;1032,18;;;;;;;;;;
;;2021;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97362 - Papaichton;4160,62;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97301 - Régina;1428,71;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97302 - Cayenne;46863,52;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97303 - Iracoubo;1170,00;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97304 - Kourou;17210,99;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97305 - Macouria;12526,42;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97306 - Mana;7122,47;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97307 - Matoury;25057,44;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97308 - Saint-Georges;3058,64;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97309 - Remire-Montjoly;20442,71;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97310 - Roura;2616,41;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97311 - Saint-Laurent-du-Maroni;30181,40;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97312 - Sinnamary;1984,88;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97313 - Montsinéry-Tonnegrande;2401,97;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97314 - Ouanary;158,37;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97352 - Saül;271,50;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97353 - Maripasoula;5928,45;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97356 - Camopi;1393,15;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97357 - Grand-Santi;5470,78;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97358 - Saint-Élie;147,38;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97360 - Apatou;5681,57;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97361 - Awala-Yalimapo;1053,00;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97362 - Papaichton;4137,69;;;;;;;;;;
;;;;;;;;;;;;;;;;
