Date_RP#Annee;Lieu_domicile#France_hexagonale;Age_personne#age_quinquenal_0_95;Sexe_personne#sexe;Population__totale_ou_par_âge_et_ou_genre_
2022;France hexagonale;5-9 ans;masculin;2040919.7434198856
2022;France hexagonale;50-54 ans;feminin;2286205.855620563
2022;France hexagonale;50-54 ans;masculin;2213338.3158231378
2022;France hexagonale;55-59 ans;feminin;2269917.1338816285
2022;France hexagonale;55-59 ans;masculin;2154142.531559646
2022;France hexagonale;60-64 ans;feminin;2181408.7124919295
2022;France hexagonale;60-64 ans;masculin;2004867.706995666
2022;France hexagonale;65-69 ans;feminin;2087287.2745007873
2022;France hexagonale;65-69 ans;masculin;1847024.0026400685
2022;France hexagonale;70-74 ans;feminin;1902659.2778016925
2022;France hexagonale;70-74 ans;masculin;1631868.7644560635
2022;France hexagonale;75-79 ans;feminin;1408637.1757125556
2022;France hexagonale;75-79 ans;masculin;1132719.0421346426
2022;France hexagonale;80-84 ans;feminin;1083471.757077217
2022;France hexagonale;80-84 ans;masculin;764958.459502846
2022;France hexagonale;85-89 ans;feminin;868066.0483317077
2022;France hexagonale;85-89 ans;masculin;487757.6619526446
2022;France hexagonale;90-94 ans;feminin;488511.9548295438
2022;France hexagonale;90-94 ans;masculin;201098.11557418108
2022;France hexagonale;95 ans et plus;feminin;176221.9389807284
2022;France hexagonale;95 ans et plus;masculin;45955.5745229125
2022;France hexagonale;Moins d'un an;feminin;330022.2870848179
2022;France hexagonale;Moins d'un an;masculin;345071.46954607964

Date_RP#Annee;Lieu_domicile#France;Age_personne#age_quinquenal_0_95;Sexe_personne#sexe;Population__totale_ou_par_âge_et_ou_genre__0
;;;;;;;;;;;;;;
2020;Departements d'outre mer;1-4 ans;feminin;50477.71203285456
2020;Departements d'outre mer;1-4 ans;masculin;51266.574328780174
2020;Departements d'outre mer;10-14 ans;feminin;72200.429038167
2020;Departements d'outre mer;10-14 ans;masculin;75057.3637778759
2020;Departements d'outre mer;15-19 ans;feminin;70955.82559299469
2020;Departements d'outre mer;15-19 ans;masculin;73186.26440650225
2020;Departements d'outre mer;20-24 ans;feminin;52222.8864915967
2020;Departements d'outre mer;20-24 ans;masculin;51828.500726759434
2020;Departements d'outre mer;25-29 ans;feminin;55756.304251372814
2020;Departements d'outre mer;25-29 ans;masculin;47073.98063069582
2020;Departements d'outre mer;30-34 ans;feminin;60314.643582224846
2020;Departements d'outre mer;30-34 ans;masculin;47463.95633620024
2020;Departements d'outre mer;35-39 ans;feminin;62207.60467004776
2020;Departements d'outre mer;35-39 ans;masculin;49881.65402239561
2020;Departements d'outre mer;40-44 ans;feminin;65104.27604109049
2020;Departements d'outre mer;40-44 ans;masculin;53113.64842802286
2020;Departements d'outre mer;45-49 ans;feminin;70463.94288343191
2020;Departements d'outre mer;45-49 ans;masculin;60780.9591268301
2020;Departements d'outre mer;5-9 ans;feminin;68292.44583374262
2020;Departements d'outre mer;5-9 ans;masculin;69929.8445507884
2020;Departements d'outre mer;50-54 ans;feminin;75165.26716321707
2020;Departements d'outre mer;50-54 ans;masculin;65430.607523441315
2020;Departements d'outre mer;55-59 ans;feminin;69175.629524827
2020;Departements d'outre mer;55-59 ans;masculin;62407.636649131775
2020;Departements d'outre mer;60-64 ans;feminin;58684.070459127426
2020;Departements d'outre mer;60-64 ans;masculin;53583.86020565033
2020;Departements d'outre mer;65-69 ans;feminin;48727.40041774511
2020;Departements d'outre mer;65-69 ans;masculin;42799.93607664108
2020;Departements d'outre mer;70-74 ans;feminin;36359.61165547371
2020;Departements d'outre mer;70-74 ans;masculin;31035.112415075302
2020;Departements d'outre mer;75-79 ans;feminin;27608.49488312006
2020;Departements d'outre mer;75-79 ans;masculin;21507.345594227314
2020;Departements d'outre mer;80-84 ans;feminin;21188.9680724144
2020;Departements d'outre mer;80-84 ans;masculin;14215.339292138815
2020;Departements d'outre mer;85-89 ans;feminin;12694.515074968338
2020;Departements d'outre mer;85-89 ans;masculin;7584.172489434481
2020;Departements d'outre mer;90-94 ans;feminin;6769.788243591785
2020;Departements d'outre mer;90-94 ans;masculin;2950.0680916905403
2020;Departements d'outre mer;95 ans et plus;feminin;2925.420386970043
2020;Departements d'outre mer;95 ans et plus;masculin;951.3994516730309
2020;Departements d'outre mer;Moins d'un an;feminin;11659.663089990616
2020;Departements d'outre mer;Moins d'un an;masculin;11996.877457618713
2020;France métropolitaine;1-4 ans;feminin;1411436.337554872
2020;France métropolitaine;1-4 ans;masculin;1471844.2747787833
2020;France métropolitaine;10-14 ans;feminin;1960660.7850380987
2020;France métropolitaine;10-14 ans;masculin;2054208.9240086079
2020;France métropolitaine;15-19 ans;feminin;1945101.24675636
2020;France métropolitaine;15-19 ans;masculin;2055819.711687237
2020;France métropolitaine;20-24 ans;feminin;1807010.1669508815
2020;France métropolitaine;20-24 ans;masculin;1864423.81526798
2020;France métropolitaine;25-29 ans;feminin;1875976.8566331863
2020;France métropolitaine;25-29 ans;masculin;1845734.1680209637
2020;France métropolitaine;30-34 ans;feminin;2029306.1657281816
2020;France métropolitaine;30-34 ans;masculin;1944271.1473519802
2020;France métropolitaine;35-39 ans;feminin;2088273.4532132149
2020;France métropolitaine;35-39 ans;masculin;2010759.8176285625
2020;France métropolitaine;40-44 ans;feminin;2058584.9951063395
2020;France métropolitaine;40-44 ans;masculin;2012050.889151603
2020;France métropolitaine;45-49 ans;feminin;2195651.0033920407
2020;France métropolitaine;45-49 ans;masculin;2154861.781657994
2020;France métropolitaine;5-9 ans;feminin;1927681.8752139807
2020;France métropolitaine;5-9 ans;masculin;2018010.5876083076
2020;France métropolitaine;50-54 ans;feminin;2203595.443651557
2020;France métropolitaine;50-54 ans;masculin;2131200.8564887643
2020;France métropolitaine;55-59 ans;feminin;2175295.2392277718
2020;France métropolitaine;55-59 ans;masculin;2055842.7493278384
2020;France métropolitaine;60-64 ans;feminin;2095574.6960366964
2020;France métropolitaine;60-64 ans;masculin;1912727.0678901672
2020;France métropolitaine;65-69 ans;feminin;2038335.8109315038
2020;France métropolitaine;65-69 ans;masculin;1815485.1651204824
2020;France métropolitaine;70-74 ans;feminin;1713592.9246278405
2020;France métropolitaine;70-74 ans;masculin;1478675.7614227533
2020;France métropolitaine;75-79 ans;feminin;1232477.016658336
2020;France métropolitaine;75-79 ans;masculin;980443.8756672442
2020;France métropolitaine;80-84 ans;feminin;1089922.1961585283
2020;France métropolitaine;80-84 ans;masculin;746486.4483186007
2020;France métropolitaine;85-89 ans;feminin;864327.1767253578
2020;France métropolitaine;85-89 ans;masculin;467276.74922826886
2020;France métropolitaine;90-94 ans;feminin;468070.29260632396
2020;France métropolitaine;90-94 ans;masculin;184457.6632617712
2020;France métropolitaine;95 ans et plus;feminin;162335.61519950628
2020;France métropolitaine;95 ans et plus;masculin;42225.90545991063
2020;France métropolitaine;Moins d'un an;feminin;331638.4971200824
2020;France métropolitaine;Moins d'un an;masculin;347498.8467697501
2021;Departements d'outre mer;1-4 ans;feminin;50119.95144021511
2021;Departements d'outre mer;1-4 ans;masculin;51154.69893449545
2021;Departements d'outre mer;10-14 ans;feminin;71500.07168978453
2021;Departements d'outre mer;10-14 ans;masculin;74444.03398132324
2021;Departements d'outre mer;15-19 ans;feminin;70558.17834824324
2021;Departements d'outre mer;15-19 ans;masculin;73571.94449359179
2021;Departements d'outre mer;20-24 ans;feminin;52735.24519097805
2021;Departements d'outre mer;20-24 ans;masculin;52160.3620454669
2021;Departements d'outre mer;25-29 ans;feminin;55092.98000562191
2021;Departements d'outre mer;25-29 ans;masculin;46180.50069415569
2021;Departements d'outre mer;30-34 ans;feminin;60387.487350821495
2021;Departements d'outre mer;30-34 ans;masculin;48138.05294519663
2021;Departements d'outre mer;35-39 ans;feminin;62694.77358931303
2021;Departements d'outre mer;35-39 ans;masculin;50344.8347877264
2021;Departements d'outre mer;40-44 ans;feminin;65048.34628999233
2021;Departements d'outre mer;40-44 ans;masculin;52707.90943086147
2021;Departements d'outre mer;45-49 ans;feminin;69293.2582437396
2021;Departements d'outre mer;45-49 ans;masculin;59345.28464925289
2021;Departements d'outre mer;5-9 ans;feminin;67232.30932962894
2021;Departements d'outre mer;5-9 ans;masculin;69053.06106215715
2021;Departements d'outre mer;50-54 ans;feminin;74265.81866925955
2021;Departements d'outre mer;50-54 ans;masculin;64723.65065217018
2021;Departements d'outre mer;55-59 ans;feminin;70665.97021824121
2021;Departements d'outre mer;55-59 ans;masculin;64102.92841130495
2021;Departements d'outre mer;60-64 ans;feminin;60675.242168188095
2021;Departements d'outre mer;60-64 ans;masculin;55361.22341090441
2021;Departements d'outre mer;65-69 ans;feminin;50347.8440566659
2021;Departements d'outre mer;65-69 ans;masculin;44544.0009829402
2021;Departements d'outre mer;70-74 ans;feminin;38304.10222929716
2021;Departements d'outre mer;70-74 ans;masculin;32454.675965845585
2021;Departements d'outre mer;75-79 ans;feminin;28751.45048224926
2021;Departements d'outre mer;75-79 ans;masculin;22502.65849775076
2021;Departements d'outre mer;80-84 ans;feminin;21372.138292372227
2021;Departements d'outre mer;80-84 ans;masculin;14597.356213837862
2021;Departements d'outre mer;85-89 ans;feminin;13295.660794854164
2021;Departements d'outre mer;85-89 ans;masculin;7961.256080657244
2021;Departements d'outre mer;90-94 ans;feminin;6824.475377261639
2021;Departements d'outre mer;90-94 ans;masculin;3016.552289903164
2021;Departements d'outre mer;95 ans et plus;feminin;2950.5823970139027
2021;Departements d'outre mer;95 ans et plus;masculin;965.4045243859291
2021;Departements d'outre mer;Moins d'un an;feminin;11519.853219807148
2021;Departements d'outre mer;Moins d'un an;masculin;11872.871701717377
2021;France métropolitaine;1-4 ans;feminin;1385849.6548092663
2021;France métropolitaine;1-4 ans;masculin;1445648.6475909352
2021;France métropolitaine;10-14 ans;feminin;1972239.8848825097
2021;France métropolitaine;10-14 ans;masculin;2066117.5877673626
2021;France métropolitaine;15-19 ans;feminin;1952210.1016140282
2021;France métropolitaine;15-19 ans;masculin;2067722.5244773328
2021;France métropolitaine;20-24 ans;feminin;1824567.6104332805
2021;France métropolitaine;20-24 ans;masculin;1890377.4295110404
2021;France métropolitaine;25-29 ans;feminin;1860936.0169720799
2021;France métropolitaine;25-29 ans;masculin;1838223.2120333314
2021;France métropolitaine;30-34 ans;feminin;2027183.120445311
2021;France métropolitaine;30-34 ans;masculin;1948776.6337142885
2021;France métropolitaine;35-39 ans;feminin;2097235.504619807
2021;France métropolitaine;35-39 ans;masculin;2013216.5826397836
2021;France métropolitaine;40-44 ans;feminin;2068791.0665753484
2021;France métropolitaine;40-44 ans;masculin;2012510.6001214087
2021;France métropolitaine;45-49 ans;feminin;2167477.997020364
2021;France métropolitaine;45-49 ans;masculin;2129549.341233909
2021;France métropolitaine;5-9 ans;feminin;1908556.7633291185
2021;France métropolitaine;5-9 ans;masculin;1995731.9530316591
2021;France métropolitaine;50-54 ans;feminin;2204313.566102177
2021;France métropolitaine;50-54 ans;masculin;2136426.111468643
2021;France métropolitaine;55-59 ans;feminin;2186495.65569818
2021;France métropolitaine;55-59 ans;masculin;2071471.4444579482
2021;France métropolitaine;60-64 ans;feminin;2104233.711152673
2021;France métropolitaine;60-64 ans;masculin;1925460.3695676923
2021;France métropolitaine;65-69 ans;feminin;2031664.583317697
2021;France métropolitaine;65-69 ans;masculin;1801631.8831275403
2021;France métropolitaine;70-74 ans;feminin;1797980.7240980268
2021;France métropolitaine;70-74 ans;masculin;1547946.2105938792
2021;France métropolitaine;75-79 ans;feminin;1292521.670573175
2021;France métropolitaine;75-79 ans;masculin;1033886.41332528
2021;France métropolitaine;80-84 ans;feminin;1072446.7288562655
2021;France métropolitaine;80-84 ans;masculin;746345.9338651597
2021;France métropolitaine;85-89 ans;feminin;860064.8542181253
2021;France métropolitaine;85-89 ans;masculin;472581.00234386325
2021;France métropolitaine;90-94 ans;feminin;474366.0081034303
