Date_RP#Annee;Age_personne#age_0_65;Sexe_personne#sexe;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Population__totale_ou_par_âge_et_ou_genre_
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97356 - Camopi;904.1270465254784
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97357 - Grand-Santi;3290.064350128174
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97358 - Saint-Élie;125.17951834201813
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97360 - Apatou;3116.69877576828
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97361 - Awala-Yalimapo;658.0
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97362 - Papaichton;3254.162621974945

Date_RP#Annee;Age_personne#age_0_65;Sexe_personne#sexe;Lieu_domicile#Regions_France_2017;Population__totale_ou_par_âge_et_ou_genre__0
;26§27§28§29§30§31§32§33§34§35§36§37§38§39§40§41§42§43§44§45§46§47§48§49§50§51§52§53§54§55§56§57§58§59§60§61§62§63§64;masculin§feminin;;;;26§27§28§29§30§31§32§33§34§35§36§37§38§39§40§41§42§43§44§45§46§47§48§49§50§51§52§53§54§55§56§57§58§59§60§61§62§63§64;masculin§feminin;;;;26§27§28§29§30§31§32§33§34§35§36§37§38§39§40§41§42§43§44§45§46§47§48§49§50§51§52§53§54§55§56§57§58§59§60§61§62§63§64;masculin§feminin;;
2020;Age : 0,1,2, ..., 65 ou +;Sexe;Auvergne-Rhône-Alpes;3958457.1712448597
2020;Age : 0,1,2, ..., 65 ou +;Sexe;Bourgogne-Franche-Comté;1345019.232194662
2020;Age : 0,1,2, ..., 65 ou +;Sexe;Bretagne;1621200.3591108918
2020;Age : 0,1,2, ..., 65 ou +;Sexe;Centre-Val de Loire;1236225.365892589
2020;Age : 0,1,2, ..., 65 ou +;Sexe;Corse;173139.36314457655
2020;Age : 0,1,2, ..., 65 ou +;Sexe;Grand Est;2772442.917199254
2020;Age : 0,1,2, ..., 65 ou +;Sexe;Guadeloupe;191215.70552110672
