Date_RP#Annee;Age_personne#Age_Quinquennal_0_65_ss_moins_1_an;Sexe_personne#sexe;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Personnes_vivant_seules_à_domicile__totale_ou_par_âge_et_ou_genre_
;65 ans et plus;masculin§feminin;;;;65 ans et plus;masculin§feminin;;;;65 ans et plus;masculin§feminin;;
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;97305 - Macouria;341.06376361846924
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;97306 - Mana;107.17513942718506
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;97307 - Matoury;724.875358581543
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;97308 - Saint-Georges;33.00162649154663
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;97309 - Remire-Montjoly;747.1461982727051
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;97310 - Roura;70.53190231323242
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;97311 - Saint-Laurent-du-Maroni;359.7805652618408
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;97312 - Sinnamary;136.4184308052063
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;97313 - Montsinéry-Tonnegrande;74.5357837677002
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;97314 - Ouanary;0.0
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;97352 - Saül;15.05573558807373
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;97353 - Maripasoula;56.815889835357666
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;97356 - Camopi;8.288262367248535
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;97357 - Grand-Santi;24.548449516296387
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;97358 - Saint-Élie;0.0
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;97360 - Apatou;37.13472318649292
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;97361 - Awala-Yalimapo;19.471698760986328
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;97362 - Papaichton;19.313587188720703

Date_RP#Annee;Age_personne#Age_Quinquennal_0_65_ss_moins_1_an;Sexe_personne#sexe;Lieu_domicile#Regions_France_2017;Personnes_vivant_seules_à_domicile__totale_ou_par_âge_et_ou_genre__0
;65 ans et plus;masculin§feminin;;;;65 ans et plus;masculin§feminin;;;;65 ans et plus;masculin§feminin;;
