;;Date_RP#Annee;Age_personne_PrPCS#age_m15_1524_2554_5564_65plus;Sexe_personne_PrPCS#sexe;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;PCS_RP#CSP_6postes;Population_par_groupe_socioprofessionnel__totale_ou_par_âge_et_ou_genre_;;;;;;;;;;;;
;;;15-24 ans§25-54 ans§55-64 ans§65 ans ou plus;masculin§feminin;;;;;15-24 ans§25-54 ans§55-64 ans§65 ans ou plus;masculin§feminin;;;;;15-24 ans§25-54 ans§55-64 ans§65 ans ou plus;masculin§feminin;;;
;;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97313 - Montsinéry-Tonnegrande;Ouvriers;240,00;;;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97314 - Ouanary;Ouvriers;13,30;;;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97352 - Saül;Ouvriers;15,10;;;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97353 - Maripasoula;Ouvriers;2753,09;;;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97356 - Camopi;Ouvriers;126,17;;;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97357 - Grand-Santi;Ouvriers;411,46;;;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97358 - Saint-Élie;Ouvriers;144,53;;;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97360 - Apatou;Ouvriers;135,00;;;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97361 - Awala-Yalimapo;Ouvriers;95,49;;;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97362 - Papaichton;Ouvriers;2010,46;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;2021;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97301 - Régina;Cadres et professions intellectuelles supérieures;0,00;;;;;;;;;;;;
;;2021;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97302 - Cayenne;Cadres et professions intellectuelles supérieures;2408,39;;;;;;;;;;;;
;;2021;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97303 - Iracoubo;Cadres et professions intellectuelles supérieures;19,95;;;;;;;;;;;;
;;2021;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97304 - Kourou;Cadres et professions intellectuelles supérieures;1270,40;;;;;;;;;;;;
;;2021;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97305 - Macouria;Cadres et professions intellectuelles supérieures;680,89;;;;;;;;;;;;
