Date_RP#Annee;Age_personne#age_0_65;Sexe_personne#sexe;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Population__totale_ou_par_âge_et_ou_genre_
;6§7§8§9§10§11§12§13§14§15§16;masculin§feminin;;
2018;Age : 0,1,2, ..., 65 ou +;Sexe;97309 - Remire-Montjoly;4733.453186035156
2019;Age : 0,1,2, ..., 65 ou +;Sexe;97309 - Remire-Montjoly;4760.646591186523
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97309 - Remire-Montjoly;4592.306701660156
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97309 - Remire-Montjoly;4989.239822387695
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97309 - Remire-Montjoly;4984.22444152832
2015;Age : 0,1,2, ..., 65 ou +;Sexe;97310 - Roura;687.6841850280762
2016;Age : 0,1,2, ..., 65 ou +;Sexe;97310 - Roura;724.3315963745117
2017;Age : 0,1,2, ..., 65 ou +;Sexe;97310 - Roura;677.3877620697021
2018;Age : 0,1,2, ..., 65 ou +;Sexe;97310 - Roura;650.3040885925293
2019;Age : 0,1,2, ..., 65 ou +;Sexe;97310 - Roura;623.032844543457
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97310 - Roura;608.8939666748047
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97310 - Roura;592.7937564849854
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97310 - Roura;576.2106590270996
2015;Age : 0,1,2, ..., 65 ou +;Sexe;97311 - Saint-Laurent-du-Maroni;12946.826538085938
2016;Age : 0,1,2, ..., 65 ou +;Sexe;97311 - Saint-Laurent-du-Maroni;12957.822235107422
2017;Age : 0,1,2, ..., 65 ou +;Sexe;97311 - Saint-Laurent-du-Maroni;12976.686218261719
2018;Age : 0,1,2, ..., 65 ou +;Sexe;97311 - Saint-Laurent-du-Maroni;13712.594116210938
2019;Age : 0,1,2, ..., 65 ou +;Sexe;97311 - Saint-Laurent-du-Maroni;14126.855163574219
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97311 - Saint-Laurent-du-Maroni;14046.702697753906
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97311 - Saint-Laurent-du-Maroni;14286.573364257812
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97311 - Saint-Laurent-du-Maroni;14792.436279296875
