;France hexagonale§Hors France hexagonale;;masculin§feminin;;;France hexagonale§Hors France hexagonale;;masculin§feminin;;;France hexagonale§Hors France hexagonale;;masculin§feminin
2020;Departements d'outre mer;50-54 ans;Sexe;140595.87468665838;;;;;;;;;
2020;Departements d'outre mer;55-59 ans;Sexe;131583.26617395878;;;;;;;;;
2020;Departements d'outre mer;60-64 ans;Sexe;112267.93066477776;;;;;;;;;
2020;Departements d'outre mer;65-69 ans;Sexe;91527.3364943862;;;;;;;;;
2020;Departements d'outre mer;70-74 ans;Sexe;67394.72407054901;;;;;;;;;
2020;Departements d'outre mer;75-79 ans;Sexe;49115.840477347374;;;;;;;;;
2020;Departements d'outre mer;80-84 ans;Sexe;35404.30736455321;;;;;;;;;
2020;Departements d'outre mer;85-89 ans;Sexe;20278.68756440282;;;;;;;;;
2020;Departements d'outre mer;90-94 ans;Sexe;9719.856335282326;;;;;;;;;
2020;Departements d'outre mer;95 ans et plus;Sexe;3876.819838643074;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
2020;France métropolitaine;Moins d'un an;Sexe;679137.3438898325;;;;;;;;;
2020;France métropolitaine;1-4 ans;Sexe;2883280.6123336554;;;;;;;;;
2020;France métropolitaine;5-9 ans;Sexe;3945692.4628222883;;;;;;;;;
2020;France métropolitaine;10-14 ans;Sexe;4014869.7090467066;;;;;;;;;
2020;France métropolitaine;15-19 ans;Sexe;4000920.958443597;;;;;;;;;
2020;France métropolitaine;20-24 ans;Sexe;3671433.9822188616;;;;;;;;;
2020;France métropolitaine;25-29 ans;Sexe;3721711.02465415;;;;;;;;;
2020;France métropolitaine;30-34 ans;Sexe;3973577.313080162;;;;;;;;;
2020;France métropolitaine;35-39 ans;Sexe;4099033.2708417773;;;;;;;;;
2020;France métropolitaine;40-44 ans;Sexe;4070635.8842579424;;;;;;;;;
2020;France métropolitaine;45-49 ans;Sexe;4350512.7850500345;;;;;;;;;
2020;France métropolitaine;50-54 ans;Sexe;4334796.300140321;;;;;;;;;
2020;France métropolitaine;55-59 ans;Sexe;4231137.98855561;;;;;;;;;
2020;France métropolitaine;60-64 ans;Sexe;4008301.7639268637;;;;;;;;;
2020;France métropolitaine;65-69 ans;Sexe;3853820.976051986;;;;;;;;;
2020;France métropolitaine;70-74 ans;Sexe;3192268.686050594;;;;;;;;;
2020;France métropolitaine;75-79 ans;Sexe;2212920.89232558;;;;;;;;;
2020;France métropolitaine;80-84 ans;Sexe;1836408.644477129;;;;;;;;;
2020;France métropolitaine;85-89 ans;Sexe;1331603.9259536266;;;;;;;;;
2020;France métropolitaine;90-94 ans;Sexe;652527.9558680952;;;;;;;;;
2020;France métropolitaine;95 ans et plus;Sexe;204561.5206594169;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
2021;Departements d'outre mer;Moins d'un an;Sexe;23392.724921524525;;;;;;;;;
2021;Departements d'outre mer;1-4 ans;Sexe;101274.65037471056;;;;;;;;;
2021;Departements d'outre mer;5-9 ans;Sexe;136285.3703917861;;;;;;;;;
2021;Departements d'outre mer;10-14 ans;Sexe;145944.10567110777;;;;;;;;;
2021;Departements d'outre mer;15-19 ans;Sexe;144130.12284183502;;;;;;;;;
2021;Departements d'outre mer;20-24 ans;Sexe;104895.60723644495;;;;;;;;;
2021;Departements d'outre mer;25-29 ans;Sexe;101273.4806997776;;;;;;;;;
2021;Departements d'outre mer;30-34 ans;Sexe;108525.54029601812;;;;;;;;;
2021;Departements d'outre mer;35-39 ans;Sexe;113039.60837703943;;;;;;;;;
2021;Departements d'outre mer;40-44 ans;Sexe;117756.2557208538;;;;;;;;;
2021;Departements d'outre mer;45-49 ans;Sexe;128638.5428929925;;;;;;;;;
2021;Departements d'outre mer;50-54 ans;Sexe;138989.46932142973;;;;;;;;;
