;;Date_RP#Annee;Age_actif#age_m15_1524_2554_5564_65plus;Sexe_actif#sexe;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Nombre_d’actifs__total_ou_par_âge_et_ou_genre_;;;;;;;;;;
;;;15-24 ans§25-54 ans§55-64 ans§65 ans ou plus;masculin§feminin;;;;15-24 ans§25-54 ans§55-64 ans§65 ans ou plus;masculin§feminin;;;;15-24 ans§25-54 ans§55-64 ans§65 ans ou plus;masculin§feminin;;
;;2021;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97361 - Awala-Yalimapo;527,34;;;;;;;;;;
;;2021;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97362 - Papaichton;2682,10;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97301 - Régina;1172,88;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97302 - Cayenne;27961,58;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97303 - Iracoubo;650,00;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97304 - Kourou;10878,13;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97305 - Macouria;8013,62;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97306 - Mana;2944,82;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97307 - Matoury;15044,51;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97308 - Saint-Georges;1846,46;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97309 - Remire-Montjoly;13276,44;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97310 - Roura;1735,22;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97311 - Saint-Laurent-du-Maroni;17178,36;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97312 - Sinnamary;1125,31;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97313 - Montsinéry-Tonnegrande;1387,43;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97314 - Ouanary;93,77;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97352 - Saül;237,51;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97353 - Maripasoula;4129,83;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97356 - Camopi;457,63;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97357 - Grand-Santi;1300,98;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97358 - Saint-Élie;112,75;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97360 - Apatou;2186,10;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97361 - Awala-Yalimapo;538,00;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97362 - Papaichton;2670,59;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;Date_RP#Annee;Age_actif#age_m15_1524_2554_5564_65plus;Sexe_actif#sexe;Lieu_domicile#Regions_France_2017;Nombre_d’actifs__total_ou_par_âge_et_ou_genre__0;;;;;;;;;;
;;;15-24 ans§25-54 ans§55-64 ans§65 ans ou plus;masculin§feminin;;;;15-24 ans§25-54 ans§55-64 ans§65 ans ou plus;masculin§feminin;;;;15-24 ans§25-54 ans§55-64 ans§65 ans ou plus;masculin§feminin;;
11;11,ÃŽle-de-France;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Île-de-France;6269571,27;2021;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Île-de-France;6301356,38;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Île-de-France;6363102,25
24;24,Centre-Val de Loire;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Centre-Val de Loire;1177798,07;2021;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Centre-Val de Loire;1178224,43;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Centre-Val de Loire;1186559,60
27;27,Bourgogne-Franche-ComtÃ©;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Bourgogne-Franche-Comté;1271856,41;2021;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Bourgogne-Franche-Comté;1273934,25;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Bourgogne-Franche-Comté;1283139,74
28;28,Normandie;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Normandie;1512834,57;2021;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Normandie;1516061,35;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Normandie;1529005,41
32;32,Hauts-de-France;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Hauts-de-France;2728126,42;2021;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Hauts-de-France;2734603,95;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Hauts-de-France;2753407,94
44;44,Grand Est;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Grand Est;2614796,51;2021;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Grand Est;2617948,50;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Grand Est;2631019,37
52;52,Pays de la Loire;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Pays de la Loire;1792458,27;2021;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Pays de la Loire;1809630,38;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Pays de la Loire;1833670,31
53;53,Bretagne;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Bretagne;1528833,72;2021;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Bretagne;1543183,52;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Bretagne;1566643,24
75;75,Nouvelle-Aquitaine;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Nouvelle-Aquitaine;2751101,70;2021;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Nouvelle-Aquitaine;2775214,91;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Nouvelle-Aquitaine;2813811,86
76;76,Occitanie;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Occitanie;2703966,86;2021;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Occitanie;2733349,49;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Occitanie;2775982,60
84;84,Auvergne-RhÃ´ne-Alpes;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Auvergne-Rhône-Alpes;3841027,06;2021;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Auvergne-Rhône-Alpes;3871577,43;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Auvergne-Rhône-Alpes;3917799,21
93;93,Provence-Alpes-CÃ´te d'Azur;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Provence-Alpes-Côte d'Azur;2281580,06;2021;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Provence-Alpes-Côte d'Azur;2301932,64;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Provence-Alpes-Côte d'Azur;2334487,57
94;94,Corse;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Corse;155656,26;2021;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Corse;157206,30;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Corse;158976,48
1;01,Guadeloupe;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Guadeloupe;173174,56;2021;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Guadeloupe;173164,88;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Guadeloupe;173013,16
2;02,Martinique;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Martinique;166205,57;2021;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Martinique;165453,13;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Martinique;166043,67
3;03,Guyane;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Guyane;114774,17;2021;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Guyane;115317,26;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Guyane;114941,91
