Accident_Id;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
202200038412;15;01;2022;08:48;1;973;97302;2;3;2;6;MONTABO (ROUTE DE) 1;4,9394600000; -52,3010600000
202200038531;23;08;2022;21:35;5;973;97302;2;1;1;7;VOLTAIRE(AVENUE);4,9418123664; -52,3247493804
202200038532;23;08;2022;20:00;4;973;97302;2;1;1;7;MONTABO (ROUTE DE) 4;4,9281112131; -52,2900778055
202200038535;22;08;2022;11:45;1;973;97302;2;1;1;3;MANDELA  (BOULEVARD);4,9390212079; -52,3263680935
202200038540;23;08;2022;10:55;1;973;97302;2;2;1;3;RABAN (ROUTE DE);4,9335306024; -52,3133245111
202200038542;23;08;2022;07:25;1;973;97302;2;6;8;7;BADUEL (ROND POINT DE);4,9331600000; -52,3096200000
202200038653;15;07;2022;15:15;1;973;97309;1;1;3;1;Route du Mahury;4,8773570821; -52,2789788246
202200038794;13;07;2022;19:30;5;973;97302;2;1;1;2;BADUEL (ROUTE DE);4,9290200000; -52,3014900000
202200038875;14;06;2022;14:45;1;973;97311;2;1;1;6;Avenue Paul Castaing;5,4840850000; -54,0150390000
202200038878;29;05;2022;10:39;1;973;97311;2;6;2;3;Rue Joseph Symphorien;5,5003820000; -54,0282300000
202200038965;22;08;2022;07:30;1;973;97302;2;1;1;6;FLAMBOYANTS (RUE DES);4,9238355295; -52,3193380237
202200038996;14;06;2022;14:32;1;973;97302;2;1;1;3;EOLE (RESIDENCE) RTE DE BADUEL;4,9319512879; -52,3283851147
202200039148;6;04;2022;09:14;1;973;97302;2;1;1;3;BADUEL (ROUTE DE);4,9354200000; -52,3126900000
202200039150;6;04;2022;07:05;1;973;97302;2;6;1;2;BADUEL (ROND POINT DE);4,9332544680; -52,3096579313
202200039422;31;10;2022;19:00;5;973;97302;2;3;1;3;RABAN (ROUTE DE);4,9375888801; -52,3159128428
202200039423;6;04;2022;03:58;1;973;97307;2;1;2;5;ROUTE NATIONALE 1;4,8849890000; -52,3357900000
202200039424;31;10;2022;17:00;1;973;97302;2;3;1;3;SAINT ANTOINE (CHEMIN);4,9355365848; -52,2950935364
202200039425;31;10;2022;14:27;1;973;97302;1;1;1;2;ROUTE NATIONALE 1;4,9040700000; -52,3238600000
202200039426;5;04;2022;07:50;1;973;97302;2;3;2;3;MONTABO (ROUTE DE) 3;4,9357200000; -52,2954100000
202200039661;27;04;2022;19:45;5;973;97311;2;1;1;2;Allée du Lac Bleu;5,4751290000; -54,0349730000
202200039662;26;04;2022;22:45;3;973;97305;1;1;1;2;Route Départementale 5;4,9811450000; -52,4688290000
202200039886;16;01;2022;13:20;1;973;97309;2;1;1;3;D2;4,9077030000; -52,2728040000
202200039889;14;01;2022;14:10;1;973;97305;1;1;1;5;pk 14 RN1;4,9285000000; -52,3941850000
202200040044;26;09;2022;06:40;1;973;97302;1;6;1;7;MARINGOUINS (ROND-POINT);4,9076304398; -52,3224091530
202200040047;25;09;2022;19:23;5;973;97302;2;2;1;2;HEDER (place);4,9416533682; -52,3311290145
202200040050;25;09;2022;01:30;5;973;97302;2;1;1;1;ESTREES (AVENUE D');4,9404400000; -52,3252000000
202200040607;21;08;2022;14:40;1;973;97302;2;1;1;2;MADELEINE (ROUTE DE LA);4,9170800000; -52,3214500000
202200040611;21;08;2022;11:50;1;973;97302;2;3;1;3;BRUTUS (CITE);4,9372400000; -52,3192300000
202200040901;5;08;2022;12:30;1;973;97309;2;1;1;5;Route de Rémire;4,9232990000; -52,2828040000
202200040980;23;02;2022;17:22;1;973;97302;1;1;2;2;ROUTE NATIONALE 1;4,9112648610; -52,3262715340
202200040983;23;02;2022;09:15;1;973;97302;2;1;1;3;BADUEL (ROUTE DE);4,9366100000; -52,3144800000
202200041431;5;04;2022;07:20;1;973;97309;2;1;1;3;Avenue Cyprien Gildon;4,9107340000; -52,2812100000
202200041533;15;05;2022;04:30;3;973;97305;1;1;1;6;RN1;4,9109526399; -52,3705185950
202200041740;13;01;2022;10:50;1;973;97302;2;2;1;3;ARAGO (FRANCOIS);4,9367867576; -52,3312329501
202200042192;3;12;2022;15:50;1;973;97302;2;1;3;3;TIGRE (ROUTE DU);4,9202470519; -52,3203679919
202200042194;3;12;2022;00:15;5;973;97302;2;6;2;7;LEBLOND (ROND POINT);4,9215266492; -52,3295331001
202200042493;22;02;2022;19:15;3;973;97306;1;1;1;2;D9 PK 16;5,6145340000; -53,8821030000
202200042545;13;06;2022;16:30;1;973;97309;2;1;1;3;1406 A route de Montjoly;4,9216000000; -52,2805940000
202200042564;22;02;2022;08:05;1;973;97302;2;1;3;2;MORTIN (CITE);4,9144100000; -52,3258500000
202200042917;22;02;2022;16:45;2;973;97309;1;1;1;2;D23;4,8924170000; -52,2895570000
202200042966;19;08;2022;20:45;3;973;97305;1;1;1;2;RN1 / Rue de l Ecole de 7eme;4,9458050000; -52,4195370000
202200043105;3;04;2022;11:00;1;973;97304;1;3;2;5;RN1;5,1379260000; -52,7170590000
202200043169;2;04;2022;11:30;1;973;97302;2;1;2;7;MANGUES (RUE DES - CITE MANGUIERS);4,9343269389; -52,3231440783
202200043171;2;04;2022;00:45;5;973;97302;2;2;1;3;ARAGO (FRANCOIS);4,9381242217; -52,3315682262
202200043489;11;05;2022;22:50;5;973;97302;2;2;1;3;DE GAULLE (AVENUE);4,9393828518; -52,3293158412
202200043773;11;01;2022;14:15;1;973;97302;2;9;1;3;CATAYEE (JUSTIN);4,9395663462; -52,3306368291
202200043820;24;09;2022;17:52;2;973;97302;2;1;1;3;MIRZA (CITE);4,9348818798; -52,3250846565
202200043821;19;09;2022;15:30;1;973;97302;2;6;1;3;ROUTE NATIONALE 1;4,9076500000; -52,3226000000
202200044023;23;09;2022;09:07;1;973;97302;2;1;1;3;ZEPHIR (CITE);4,9380400000; -52,2952900000
202200044026;23;09;2022;08:00;1;973;97302;2;3;1;3;MONTABO (ROUTE DE) 4;4,9297900000; -52,2903300000
202200044093;11;07;2022;17:15;1;973;97302;2;1;1;5;MONTABO (ROUTE DE) 2;4,9384000000; -52,2995900000
202200044095;11;07;2022;09:34;1;973;97302;2;1;1;3;RABAN (ROUTE DE);4,9283468202; -52,3136584461
202200044335;21;02;2022;14:35;1;973;97302;1;1;2;2;ROUTE NATIONALE 1;4,9034700000; -52,3243100000
202200044339;21;02;2022;12:15;1;973;97302;1;6;3;7;CRIQUE FOUILLEE (ROND POINT);4,8971300000; -52,3287000000
202200044343;18;08;2022;17:55;1;973;97302;1;1;1;3;ROUTE NATIONALE 1;4,9033800000; -52,3242400000
202200044345;11;06;2022;05:00;5;973;97302;2;1;1;7;BADUEL (ROUTE DE);4,9383900000; -52,3170900000
202200044346;21;02;2022;00:10;5;973;97302;2;1;2;7;BADUEL (ROUTE DE);4,9291400000; -52,2965800000
202200044546;1;04;2022;13:30;1;973;97302;2;2;2;3;CESAIRE (CITE);4,9306124751; -52,3242203146
202200044551;1;04;2022;09:20;1;973;97302;2;1;2;7;ZEPHIR (ROCADE);4,9414900000; -52,3043400000
202200044855;20;02;2022;18:30;1;973;97305;1;1;1;5;RN 1 PK 13,7;4,9292160000; -52,3951720000
202200044993;16;08;2022;10:15;1;973;97302;2;1;1;2;MONTABO (ROUTE DE) 1;4,9450200000; -52,3123000000
202200044998;17;08;2022;09:00;1;973;97302;2;3;1;3;BADUEL (ROUTE DE);4,9354056438; -52,3126807809
202200045032;11;06;2022;21:30;5;973;97309;2;1;1;2;Avenue Just Auguste;4,8944770000; -52,2761270000
202200045063;27;10;2022;18:40;2;973;97302;2;1;1;6;MADELEINE (ROUTE DE LA);4,9265600000; -52,3244700000
202200045068;27;10;2022;16:30;1;973;97302;2;2;1;3;RABAN (ROUTE DE);4,9335524259; -52,3133111000
202200045070;23;10;2022;22:40;5;973;97302;2;9;1;7;SOURCE DE BADUEL (CHEMIN DE LA);4,9299902782; -52,3088908195
202200045258;31;03;2022;16:30;1;973;97302;2;2;1;3;AMUSANT (PAUL);4,9333332996; -52,3317204416
202200045261;31;03;2022;08:30;1;973;97302;2;1;1;1;MADELEINE (ROUTE DE LA);4,9150500000; -52,3209700000
202200045263;30;03;2022;13:00;1;973;97302;2;1;1;1;;4,9178000000; -52,3213600000
202200045438;11;05;2022;13:50;1;973;97302;2;9;1;1;N'ZILA (CITE);4,9367097074; -52,3233009875
202200045439;11;05;2022;08:35;1;973;97302;2;1;1;6;PACHECO (LOTISSEMENT);4,9373038394; -52,2908905149
202200045611;11;01;2022;21:00;5;973;97311;2;1;1;7;Rue Emmanuel Tolinga;5,4900006110; -54,0360255539
202200045634;10;01;2022;12:20;1;973;97302;2;9;2;3;SOURCE DE BADUEL (CHEMIN DE LA);4,9302294478; -52,3089310527
202200045635;9;01;2022;18:45;5;973;97302;2;1;1;2;ESTREES (AVENUE D');4,9410000000; -52,3226000000
202200045636;8;01;2022;23:00;5;973;97302;2;1;1;6;DIGUE RONJON;4,9338949220; -52,3297718167
202200045933;22;09;2022;12:25;1;973;97302;2;2;1;3;MONTABO (ROUTE DE) 2;4,9378900000; -52,2986600000
202200045942;10;07;2022;12:30;1;973;97302;2;1;8;1;MONT LUCAS 1 (CITE);4,9260700000; -52,3000100000
202200045945;10;07;2022;09:56;1;973;97302;2;3;1;3;MONTABO (ROUTE DE) 3;4,9356900000; -52,2954500000
202200045947;9;07;2022;20:15;5;973;97302;2;1;1;6;EBOUE (ROCADE FELIX);4,9315397569; -52,3125520349
202200045949;8;07;2022;20:25;5;973;97302;2;1;1;3;MADELEINE (ROUTE DE LA);4,9283500000; -52,3251900000
202200045952;8;07;2022;16:00;1;973;97302;2;1;1;7;CABASSOU (ROUTE DE);4,9159300000; -52,3117100000
202200045955;7;07;2022;13:31;1;973;97302;2;3;1;3;BADUEL (ROUTE DE);4,9288166982; -52,2980949283
202200045957;1;07;2022;12:13;1;973;97302;2;1;1;3;;4,9446100000; -52,3160900000
202200045960;6;07;2022;08:30;1;973;97302;2;2;8;3;CABASSOU (ROUTE DE);4,9192700000; -52,3175900000
202200045962;13;06;2022;07:40;1;973;97302;2;1;1;3;MONTABO (ROUTE DE) 2;4,9396251360; -52,3011928797
202200045985;3;12;2022;08:00;1;973;97309;2;1;1;3;Route de Rémire;4,9022140000; -52,2734640000
202200046345;13;02;2022;11:50;1;973;97305;1;9;1;6;Macouria;4,9614960000; -52,4333450000
202200046443;19;02;2022;12:00;1;973;97302;2;1;1;3;BADUEL (ROUTE DE);4,9343000000; -52,3110000000
202200046449;19;02;2022;09:20;1;973;97302;2;1;1;6;DE GAULLE (AVENUE);4,9385255049; -52,3327115178
202200046740;28;05;2022;15:00;1;973;97303;1;1;1;5;RN 1 PK 169;5,5275070000; -53,3898960000
202200046744;27;10;2022;19:55;3;973;97304;1;1;1;5;Route Nationale 1 Sud;5,1266740000; -52,7295900000
202200046866;19;02;2022;20:00;5;973;97304;2;1;1;6;Avenue de France;5,1696400000; -52,6471010000
202200046900;14;08;2022;22:40;5;973;97302;2;1;1;1;BADUEL (ROUTE DE);4,9349388881; -52,3120263219
202200046940;26;10;2022;18:25;3;973;97302;2;1;1;1;MADELEINE (ROUTE DE LA);4,9166100000; -52,3213400000
202200046943;26;10;2022;08:40;1;973;97302;2;1;1;3;BADUEL (ROUTE DE);4,9325000000; -52,3084300000
202200047030;17;02;2022;07:35;1;973;97302;2;3;3;3;RABAN (ROUTE DE);4,9224500000; -52,3125700000
