Num_Acc;id_usager;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp
202200000102;1 099 466;813 793;B01;1;1;1;1;1957;5;1; -1; -1;0;0; -1
202200000102;1 099 467;813 794;A01;1;1;4;1;1975;1;1; -1; -1;0;0; -1
202200000517;1 098 484;813 057;A01;10;3;3;1;1999;5;8; -1; -1;1;1;1
202200000517;1 098 486;813 057;A01;1;1;1;1;1978;1;8; -1; -1;0;0; -1
202200000520;1 098 478;813 051;A01;1;1;2;1;1964;5;8; -1; -1;0;0; -1
202200000520;1 098 480;813 053;B01;1;1;4;2;1993;5;1; -1; -1;0;0; -1
202200000522;1 098 477;813 049;A01;1;1;3;1;1951;0;2; -1; -1;0;0; -1
202200000522;1 098 479;813 052;B01;1;1;1;1;1965;4;1; -1; -1;0;0; -1
202200000658;1 098 140;812 804;B01;1;1;4;1;1998;0;0; -1; -1;0;0; -1
202200000658;1 098 142;812 806;A01;1;1;1;1;2000;0;8;0; -1; -1; -1; -1
202200000660;1 098 134;812 799;B01;2;2;4;1;2005;0;1;8; -1; -1; -1; -1
202200000660;1 098 135;812 799;B01;1;1;1;2;1971;0;1;8; -1; -1; -1; -1
202200000660;1 098 137;812 801;A01;1;1;1;1;1974;0;1;8; -1; -1; -1; -1
202200000664;1 098 123;812 793;B01;2;2;4;2;1997;0;2;8; -1; -1; -1; -1
202200000664;1 098 126;812 793;B01;1;1;1;1;2001;0;2;8; -1; -1; -1; -1
202200000664;1 098 128;812 795;A01;1;1;1;1;1956;0;1;8; -1; -1; -1; -1
202200000774;1 097 863;812 581;B01;1;1;1;1;1988;9;1;0; -1;0;0; -1
202200000774;1 097 864;812 582;A01;1;1;4;1;2004;9;8;8; -1;0;0; -1
202200000777;1 097 854;812 573;B01;1;1;4;2;1978;9;1;0; -1;0;0; -1
202200000777;1 097 856;812 573;B01;4;2;4;2;2014;0;1;0; -1;0;0; -1
202200000777;1 097 859;812 577;A01;1;1;1;1;1996;9;8;8; -1;0;0; -1
202200000937;1 097 466;812 287;A01;10;3;4;1;1963;0;0; -1; -1;2;3;1
202200000937;1 097 467;812 287;A01;1;1;4;1;1984;1;2;6; -1;0;0; -1
202200000938;1 097 462;812 283;B01;1;1;4;1;1969;9;2;0; -1;0;0; -1
202200000938;1 097 465;812 285;A01;1;1;1;2;1941;9;1;0; -1;0;0; -1
202200000939;1 097 459;812 280;A01;1;1;4;1;1969;1;2;8; -1;0;0; -1
202200000941;1 097 458;812 279;A01;1;1;4;1;1973;1;1;0; -1;0;0; -1
202200001016;1 097 266;812 126;A01;1;1;1;1;2000;0;1; -1; -1;0;0; -1
202200001016;1 097 267;812 127;B01;1;1;3;2;1967;1;2; -1; -1;0;0; -1
202200001058;1 097 164;812 051;A01;1;1;1;2;1990;0;8;0; -1;0;0; -1
202200001058;1 097 165;812 051;A01;10;3;4;1;2019;9;0; -1; -1;1;3;1
202200001370;1 096 431;811 498;A01;1;1;4;1;1991;0;1;0; -1; -1; -1; -1
202200001370;1 096 432;811 499;B01;1;1;1;2;1990;0;1;0; -1; -1; -1; -1
202200001370;1 096 433;811 499;B01;4;2;4;2;1989;0;1;0; -1; -1; -1; -1
202200001370;1 096 434;811 499;B01;3;2;4;1;1995;0;1;0; -1; -1; -1; -1
202200001491;1 096 114;811 290;A01;1;1;4;2;1981;9;2;8; -1; -1; -1; -1
202200001491;1 096 116;811 290;A01;5;2;4;2;2015;9;2;8; -1; -1; -1; -1
202200001645;1 095 774;811 028;B01;1;1;4;1;1998;4;1; -1; -1;0;0; -1
202200001645;1 095 775;811 028;B01;2;2;4;1;1993;4;1; -1; -1;0;0; -1
202200001645;1 095 777;811 030;A01;2;2;4;1;1999;0;1; -1; -1;0;0; -1
202200001645;1 095 778;811 030;A01;1;1;4;1;1996;0;1; -1; -1;0;0; -1
202200001674;1 095 710;810 982;A01;1;1;1;1;2000;0;1; -1; -1;0;0; -1
202200001674;1 095 711;810 982;A01;9;2;1;2;2003;0;1; -1; -1;0;0; -1
202200001674;1 095 712;810 982;A01;2;2;1;2;2002;0;1; -1; -1;0;0; -1
202200001674;1 095 713;810 983;B01;2;2;3;1;2000;5;0; -1; -1;0;0; -1
202200001674;1 095 714;810 983;B01;1;1;3;1;2001;5;0; -1; -1;0;0; -1
202200001740;1 095 561;810 858;B01;1;1;4;1;1966;9;8;0; -1; -1; -1; -1
202200001740;1 095 563;810 859;A01;1;1;1;1;1957;9;1;8; -1; -1; -1; -1
202200001743;1 095 556;810 854;B01;2;2;3;2;1987;5;2;0; -1; -1; -1; -1
202200001743;1 095 557;810 854;B01;1;1;1;1;1996;5;2;0; -1; -1; -1; -1
202200001743;1 095 558;810 855;A01;1;1;1;2;1998;5;1;0; -1; -1; -1; -1
202200001748;1 095 541;810 845;A01;1;1;1;2;1997;0;1;0; -1; -1; -1; -1
202200001748;1 095 543;810 845;A01;2;2;1;2;2001;9;1;0; -1; -1; -1; -1
202200001748;1 095 546;810 848;B01;1;1;3;1;1983;9;2;0; -1; -1; -1; -1
202200001820;1 095 358;810 710;A01;1;1;2;1;1988;0;2; -1; -1;0;0; -1
202200002226;1 094 457;810 014;A01;1;1;1;2;1964;1;0; -1; -1;0;0; -1
202200002226;1 094 459;810 014;A01;10;3;3;2;2008;9;0; -1; -1;1;3;1
202200002290;1 094 301;809 898;B01;1;1;3;1;1964;5;1; -1; -1;0;0; -1
202200002290;1 094 303;809 898;B01;2;2;4;1;2008;5;1; -1; -1;0;0; -1
202200002290;1 094 306;809 901;A01;1;1;4;1;1984;5;1; -1; -1;0;0; -1
202200002293;1 094 290;809 889;B01;1;1;3;1;1993;1;0; -1; -1;0;0; -1
202200002293;1 094 294;809 893;A01;1;1;1;2;1968;5;1; -1; -1;0;0; -1
202200002293;1 094 295;809 893;A01;2;2;1;2;2003;5;1; -1; -1;0;0; -1
202200002348;1 094 160;809 792;B01;1;1;1;1;1986;9;1;0; -1;0;0; -1
202200002348;1 094 162;809 794;A01;1;1;4;1;1990;9;2;8; -1;0;0; -1
202200002352;1 094 148;809 785;A01;1;1;1;1;1996;1;1;0; -1;0;0; -1
202200002352;1 094 150;809 785;A01;10;3;4;1;1951;0;0; -1; -1;1;3;1
202200002358;1 094 137;809 777;B01;1;1; -1; -1;; -1; -1; -1; -1; -1; -1; -1
202200002358;1 094 139;809 779;A01;10;3;1;2;2008;0;0; -1; -1;2;3;1
202200002358;1 094 140;809 779;A01;2;2;4;2;2007;0;0;0; -1;0;0; -1
202200002358;1 094 142;809 779;A01;1;1;4;1;2009;9;0;0; -1;0;0; -1
202200002611;1 093 554;809 351;A01;1;1;3;1;1972;9;2;0; -1; -1; -1; -1
202200002611;1 093 555;809 352;B01;1;1;1;2;1963;9;1;0; -1; -1; -1; -1
202200002743;1 093 251;809 123;B01;1;1;3;1;1986;0;8; -1; -1;0;0; -1
202200002743;1 093 252;809 123;B01;2;2;4;2;1998;0;8; -1; -1;0;0; -1
202200002743;1 093 253;809 124;A01;1;1;1;1;2001;2;1;9; -1;0;0; -1
202200002744;1 093 249;809 121;B01;1;1;3;1;1963;5;0; -1; -1;0;0; -1
202200002744;1 093 250;809 122;A01;1;1;4;1;1999;1;2; -1; -1;0;0; -1
202200002802;1 093 102;808 996;A01;1;1;4;2;1938;0;1;0; -1; -1; -1; -1
202200003063;1 092 474;808 539;A01;1;1;3;2;1958;5;2; -1; -1;0;0; -1
