Num_Acc;id_vehicule;num_veh;senc;catv;obs;obsm;choc;manv;motor;occutc
202200000102;813 793;B01;1;7;0;2;1;0;1;
202200000102;813 794;A01;1;7;0;0;4;23;1;
202200000517;813 057;A01;2;7;0;1;2;1;1;
202200000520;813 051;A01;2;7;0;2;2;1;1;
202200000520;813 053;B01;1;7;0;2;2;1;1;
202200000522;813 049;A01;2;2;0;2;1;1;1;
202200000522;813 052;B01;1;10;0;0;6;15;1;
202200000658;812 804;B01;1;1;0;0;0;0;5;
202200000658;812 806;A01;1;7;0;9;0;26;0;
202200000660;812 799;B01;2;7;0;2;4;2;1;
202200000660;812 801;A01;2;10;0;2;1;2;1;
202200000664;812 793;B01;1;50;0;2;4;0;3;
202200000664;812 795;A01;2;7;0;2;7;9;1;
202200000774;812 581;B01;1;7;0;2;7;1;1;
202200000774;812 582;A01;1;2;0;2;1;5;1;
202200000777;812 573;B01;2;7;0;2;8;1;1;
202200000777;812 577;A01;2;7;0;2;1;1;1;
202200000937;812 287;A01;2;30;0;1;1;1;1;
202200000938;812 283;B01;1;2;0;2;3;1;1;
202200000938;812 285;A01;1;7;0;2;7;2;1;
202200000939;812 280;A01;1;2;0;0;7;1;1;
202200000941;812 279;A01;2;10;0;0;8;1;1;
202200001016;812 126;A01;2;7;0;2;3;15;1;
202200001016;812 127;B01;1;30;0;0;8;1;1;
202200001058;812 051;A01;2;7;0;1;0;26;1;
202200001370;811 498;A01;0;7;0;2;7;1;1;
202200001370;811 499;B01;1;7;0;2;1;1;1;
202200001491;811 290;A01;1;30;0;0;1;1;1;
202200001645;811 028;B01;2;10;0;2;1;1;1;
202200001645;811 030;A01;1;7;0;2;1;5;1;
202200001674;810 982;A01;1;7;0;0;2;16;1;
202200001674;810 983;B01;1;2;0;2;1;18;1;
202200001740;810 858;B01;3;1;0;2;8;19;5;
202200001740;810 859;A01;3;7;0;9;1;11;1;
202200001743;810 854;B01;3;2;0;2;7;1;1;
202200001743;810 855;A01;3;7;0;2;8;1;1;
202200001748;810 845;A01;2;7;0;2;8;10;1;
202200001748;810 848;B01;1;33;0;2;1;1;1;
202200001820;810 710;A01;3;32;0;0;8;0;1;
202200002226;810 014;A01;1;7;0;1;1;19;1;
202200002290;809 898;B01;2;7;0;2;1;1;1;
202200002290;809 901;A01;1;7;0;2;1;1;1;
202200002293;809 889;B01;1;1;0;2;0;0;5;
