Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
202200000102;2;1;0;R;2;4;0;1;4;300;1;; -1;1;0;5;90
202200000517;3;6; -1;;2;2;0;1;1;300;1;; -1;2;0;1;80
202200000520;4;888;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202200000522;2;1; -1;;2;2;0;1;7;0;1;; -1;1;0;1;70
202200000658;4;DE GAULLE (AVENUE);0;;2;2;0;1;(1);(1);1;; -1;1;0;8;50
202200000660;3;BADUEL (ROUTE DE);0;;2;2;0;1;2;50;1;; -1;1;0;1;50
202200000664;3;BADUEL (ROUTE DE);0;;2;2;0;1;1;799;1;; -1;1;0;1;50
202200000774;4;CONSTANT CHLORE(RUE);0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202200000777;4;MANDELA  (BOULEVARD);0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202200000937;3;CABASSOU (ROUTE DE);0;;2;2;0;1;0;500;1;; -1;1;0;5;50
202200000938;3;FELIX EBOUE(ROCADE);0;;2;2;0;1;2;49;1;; -1;2;0;1;50
202200000939;2;ROUTE NATIONALE 1;0;;1;4;0;1;1;49;1;; -1;1;0;1;90
202200000941;3;TIGRE (ROUTE DU);0;;2;2;0;1;1;299;1;; -1;2;0;8;50
202200001016;3;2; -1;;2;2;0;1;10;300;1;; -1;1;0;1;50
202200001058;4;A.HENRI(RUE);0;;2;2;0;1;(1);(1);1;; -1;1;9;1;50
202200001370;3;FELIX EBOUE(ROCADE);0;;2;2;0;1;1;900;1;; -1;1;0;1;50
202200001491;3;MANDELA  (BOULEVARD);0;;1;2;0;1;0;400;1;; -1;2;8;1;50
202200001645;2;1; -1;;2;2;0;1;48;500;3;;7;2;0;1;90
202200001674;4;;0;;2;2;1;1;(1);(1);1;; -1;1;0;1;50
202200001740;4;CATAYEE (JUSTIN);0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
