Num_Acc;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
201900000117;19;9;2019;21:28;5;973;97302;2;1;1;3;BADUEL (ROUTE DE);4,9356720; -52,3131394
201900000190;15;2;2019;16:05;1;973;97307;1;1;1;1;Route Nationale 1 PK 8+500;4,8992890; -52,3617710
201900000213;15;2;2019;21:30;3;973;97306;1;1;1;6;cd 9 pk 31;5,6521168; -53,8116360
201900000628;29;11;2019;19:40;5;973;97307;2;2;1;3;RN2;4,8860210; -52,3353450
201900000724;28;11;2019;20:35;3;973;97311;1;1;1;6;Avenue Jean Galmot;5,5311820; -53,9491260
201900001134;13;2;2019;14:10;1;973;97302;2;3;1;3;UNIVERSITE CHICAGO (RUE DE);4,9371043; -52,2977436
201900001135;12;2;2019;17:05;1;973;97302;2;1;1;3;MONTABO (ROUTE DE) 1;4,9394559; -52,3010373
201900001136;12;2;2019;15:32;1;973;97302;2;9;1;3;MANDELA  (BOULEVARD);4,9380877; -52,3261643
201900002281;19;9;2019;15:15;1;973;97302;2;1;1;4;MONTABO (ROUTE DE) 2;4,9423419; -52,3052216
201900002282;18;9;2019;20:40;5;973;97302;2;9;1;3;FELIX EBOUE(ROCADE);4,9262656; -52,3211002
201900002442;19;9;2019;16:30;1;973;97309;2;1;1;6;Route de Montjoly;4,9134598; -52,2733596
201900002604;11;2;2019;09:35;1;973;97302;2;3;1;3;MADELEINE (ROUTE DE LA);4,9297502; -52,3258209
201900002605;7;2;2019;06:11;2;973;97302;2;1;1;6;VIRGILE (AVENUE);4,9323370; -52,3080969
201900002628;9;7;2019;16:50;1;973;97302;2;1;1;2;MANGO (CITE);4,9325935; -52,3185575
201900003363;21;10;2019;19:30;5;973;97304;2;1;1;1;Avenue de Pariacabo;5,1559780; -52,6598860
201900003538;31;10;2019;21:25;5;973;97302;2;9;1;3;TECLE (EUGENE) CITE THEMIRE;4,9342717; -52,3208749
201900003590;25;11;2019;13:32;1;973;97302;2;1;1;3;SOURCE DE BADUEL (CHEMIN DE LA);4,9302290; -52,3089410
