Num_Acc;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp
201900000117;138 306 316;A01;1;1;1;2;1994;3;1;8; -1; -1;0; -1
201900000117;138 306 317;B01;1;1;4;1;1997;0;2;8; -1; -1;0; -1
201900000190;138 306 165;B01;1;1;3;1;1983;0;1; -1; -1;0;0; -1
201900000190;138 306 166;A01;1;1;3;2;1963;0;1; -1; -1;0;0; -1
201900000213;138 306 127;A01;1;1;1;1;1990;5;8; -1; -1;0;0; -1
201900000213;138 306 127;A01;10;3;3;1;1996;9;0; -1; -1;6;B;2
201900000628;138 305 399;B01;1;1;1;2;1975;1;1; -1; -1;0;0; -1
201900000628;138 305 400;A01;1;1;3;1;1948;9;2; -1; -1;0;0; -1
201900000724;138 305 216;A01;10;3;3;1;1981;5;0; -1; -1;9;B;1
201900001134;138 304 471;B01;3;2;4;2;1999;9;1;0; -1; -1;0; -1
201900001134;138 304 471;B01;1;1;4;1;1998;9;1;0; -1; -1; -1; -1
201900001134;138 304 471;B01;2;2;4;2;1998;9;1;0; -1; -1;0; -1
201900001134;138 304 472;A01;1;1;1;2;1954;0;1;0; -1; -1; -1; -1
201900001135;138 304 467;A01;1;1;1;1;1995;0;1;0; -1; -1; -1; -1
201900001135;138 304 468;B01;1;1;4;1;2001;0;2;0; -1; -1; -1; -1
201900001135;138 304 468;B01;2;2;4;1;2002;0;2; -1; -1; -1; -1; -1
201900001136;138 304 465;A01;2;2;1;2;1997;5;1;8; -1; -1;0; -1
201900001136;138 304 465;A01;1;1;1;2;1998;5;1;8; -1; -1;0; -1
201900001136;138 304 466;B01;1;1;3;1;1996;1;2;8; -1; -1;0; -1
201900002281;138 302 270;C01;1;1;1;1;1982;9;1;8; -1; -1; -1; -1
201900002281;138 302 271;B01;1;1;1;1;1963;9;1;8; -1; -1; -1; -1
201900002281;138 302 272;A01;10;3;4;2;2011;9;8;0; -1;1;1;1
201900002281;138 302 272;A01;1;1;1;1;1979;9;1;8; -1;0;0; -1
201900002281;138 302 272;A01;10;3;4;1;1957;9;8;0; -1;2;3;2
201900002282;138 302 268;B01;1;1;3;1;1977;9;2;8; -1; -1;0; -1
201900002282;138 302 269;Z01;1;1;1;1;1985;9;8;8; -1; -1;0; -1
201900002442;138 301 961;A01;10;3;3;1;2013;0;0; -1; -1;4;5;1
201900002442;138 301 961;A01;1;1;1;2;1982;0;1; -1; -1;0;0; -1
201900002604;138 301 647;A01;1;1;3;1;1965;9;2;0; -1; -1; -1; -1
201900002604;138 301 648;B01;1;1;1;1;1956;9;1;0; -1; -1; -1; -1
201900002605;138 301 644;A01;1;1;1;1;1954;0;1;0; -1;0;0; -1
201900002605;138 301 644;A01;10;3;4;1;2002;2;8;0; -1;4;3;1
201900002628;138 301 602;B01;1;1;4;1;1955;5;8;0; -1; -1;0; -1
201900002628;138 301 603;A01;1;1;1;1;1978;5;1;0; -1; -1;0; -1
201900003363;138 300 196;B01;1;1;1;1;2000;0;0; -1; -1;0;0; -1
201900003363;138 300 197;A01;1;1;3;1;2006;5;0; -1; -1;0;0; -1
201900003538;138 299 863;A01;1;1;1;1;1989;9;1;8; -1; -1;0; -1
201900003538;138 299 864;B01;1;1;4;2;1989;9;2;8; -1; -1;0; -1
201900003590;138 299 770;A01;1;1;1;2;1971;5;1;0; -1;0;0; -1
201900003590;138 299 771;B01;1;1;4;1;2002;2;8;0; -1;0;0; -1
201900003591;138 299 768;A01;1;1;1;2;1977;4;1;0; -1; -1; -1; -1
201900003591;138 299 769;B01;1;1;4;1;2003;0;8;0; -1; -1; -1; -1
201900003807;138 299 376;A01;1;1;3;1;1993;0;2;0; -1; -1;0; -1
201900003807;138 299 377;B01;1;1;1;1;1999;0;1;0; -1; -1;0; -1
201900003920;138 299 165;A01;1;1;4;1;2003;9;2;8; -1;0;0; -1
201900003920;138 299 165;A01;10;3;4;2;1981;9;8;0; -1;6;9;1
201900003920;138 299 165;A01;2;2;4;1;1999;9;2;8; -1;0;0; -1
201900003921;138 299 163;B01;1;1;4;1;1990;9;2;8; -1; -1;0; -1
201900003921;138 299 164;A01;1;1;1;1;1973;1;1;8; -1; -1;0; -1
201900004169;138 298 689;A01;1;1;3;1;1998;5;2; -1; -1;0;0; -1
201900004492;138 298 040;A01;1;1;1;1;1978;0;1;0; -1; -1;0; -1
201900004492;138 298 041;B01;1;1;4;2;1970;0;1;0; -1; -1;0; -1
201900004492;138 298 042;C01;1;1;1;2;1993;0;1;0; -1; -1;0; -1
201900004493;138 298 038;A01;1;1;1;1;1995;9;2;0; -1; -1;0; -1
201900004493;138 298 039;B01;1;1;4;1;1985;9;1;0; -1; -1;0; -1
201900004494;138 298 037;A01;10;3;4;1;1940;0;8;0; -1;3;3;1
201900004494;138 298 037;A01;1;1;1;1;1994;0;8;0; -1; -1; -1; -1
201900004495;138 298 035;A01;1;1;1;2;1985;9;1;0; -1; -1;0; -1
201900004495;138 298 036;B01;1;1;4;1;1977;5;2;0; -1; -1;0; -1
201900004496;138 298 033;B01;1;1;3;1;2003;0;2;0; -1; -1; -1; -1
201900004496;138 298 034;A01;1;1;1;1;1985;0;1;0; -1; -1; -1; -1
201900004497;138 298 032;A01;10;3;2;1;1950;0;8;0; -1;6;2;1
201900004497;138 298 032;A01;1;1;1;1;1985;9;8;0; -1; -1;0; -1
201900004498;138 298 030;B01;1;1;4;1;1965;9;2;8; -1; -1; -1; -1
201900004498;138 298 031;Z01;1;1;1;1;2001;9;8;0; -1;0;0; -1
201900004499;138 298 028;B01;1;1;1;2;1956;9;1;8; -1; -1;0; -1
201900004499;138 298 029;A01;1;1;4;1;1969;9;2;0; -1; -1;0; -1
201900004499;138 298 029;A01;2;2;4;2;1979;0;2;0; -1; -1;0; -1
201900004500;138 298 026;B01;1;1;4;2;2002;2;8;0; -1; -1; -1; -1
201900004500;138 298 027;A01;1;1;1;2;1985;1;1;0; -1; -1; -1; -1
201900006592;138 294 095;A01;2;2;1;1;1993;0;1;0; -1; -1; -1; -1
201900006592;138 294 095;A01;1;1;1;1;1960;0;1;0; -1; -1;0; -1
201900006592;138 294 096;B01;4;2;4;2;1999;0;1;0; -1; -1;0; -1
201900006592;138 294 096;B01;2;2;4;2;1997;9;1;0; -1; -1;0; -1
201900006592;138 294 096;B01;5;2;1;1;2000;0;1;0; -1; -1;0; -1
201900006592;138 294 096;B01;3;2;1;1;1999;0;1;0; -1; -1;0; -1
201900006592;138 294 096;B01;1;1;1;1;1996;9;1;0; -1; -1;0; -1
201900006685;138 293 934;B01;1;1;4;1;2008;0;0; -1; -1;0;0; -1
201900006685;138 293 935;A01;1;1;1;1;1999;0;8; -1; -1;0;0; -1
201900006686;138 293 932;B01;1;1;4;1;2001;5;0; -1; -1;0;0; -1
201900006686;138 293 933;A01;1;1;1;1;1974;5;1; -1; -1;0;0; -1
201900006740;138 293 839;B01;1;1;4;2;1955;9;1;8; -1; -1;0; -1
201900006740;138 293 840;A01;1;1;1;1;1997;9;2;8; -1; -1;0; -1
201900006957;138 293 453;B01;1;1;3;1;1976;0;2;0; -1; -1; -1; -1
201900006957;138 293 454;A01;1;1;1;1;1958;9;1;0; -1; -1; -1; -1
201900007034;138 293 314;B01;1;1;3;1;1995;0;0; -1; -1;0;0; -1
201900007034;138 293 315;A01;1;1;1;2;1985;5;1; -1; -1;0;0; -1
201900007093;138 293 213;A01;10;3;3;1;1945;5;8;0; -1;3;3;1
201900007093;138 293 213;A01;1;1;1;1;1976;0;1;0; -1; -1;0; -1
201900007094;138 293 211;A01;1;1;4;1;1983;9;8;0; -1; -1; -1; -1
201900007094;138 293 212;B01;1;1;1;1;1949;0;1;0; -1; -1; -1; -1
201900007095;138 293 209;Z01;1;1;1;1;1901;0;1;0; -1; -1; -1; -1
201900007095;138 293 210;B01;1;1;4;2;1987;0;1;0; -1; -1; -1; -1
201900007096;138 293 207;A01;1;1;1;2;1964;0;1;0; -1; -1;0; -1
201900007096;138 293 208;B01;1;1;4;1;1967;9;2;0; -1; -1;0; -1
201900007096;138 293 208;B01;5;2;4;2;1971;9;2;0; -1; -1;0; -1
201900007097;138 293 205;A01;1;1;1;1;1930;0;1;8; -1; -1;0; -1
201900007097;138 293 206;B01;1;1;4;1;1985;0;0; -1; -1; -1;0; -1
201900007098;138 293 203;A01;1;1;1;2;1986;9;2;8; -1; -1;0; -1
201900007098;138 293 204;B01;2;2;1;2;2003;0;2;8; -1; -1; -1; -1
201900007098;138 293 204;B01;1;1;4;1;2001;9;2;8; -1; -1;0; -1
201900007449;138 292 521;B01;1;1;1;1;1969;9;1;8; -1; -1;0; -1
201900007449;138 292 522;A01;10;3;4;1;1962;9;8;0; -1;5;1;1
201900007449;138 292 522;A01;1;1;1;1;1972;9;1;8; -1; -1;0; -1
201900007450;138 292 519;B01;1;1;2;1;1983;0;2;0; -1; -1;0; -1
201900007450;138 292 520;A01;1;1;4;1;1964;9;1;8; -1; -1;0; -1
201900007475;138 292 467;A01;1;1;1;1;1990;4;1;0; -1;0;0; -1
201900007475;138 292 468;B01;1;1;4;2;1990;0;2;6; -1;0;0; -1
201900007550;138 292 313;B01;1;1;4;1;1964;0;2;0; -1; -1;0; -1
201900007550;138 292 314;A01;1;1;1;2;1961;0;1;0; -1; -1;0; -1
201900007550;138 292 314;A01;3;2;1;2;2014;0;8;0; -1; -1;0; -1
201900007551;138 292 311;A01;1;1;1;1;1997;0;1;0; -1; -1;0; -1
201900007551;138 292 311;A01;2;2;1;1;1994;0;1;0; -1; -1;0; -1
201900007551;138 292 311;A01;10;3;2;1;1987;9;0; -1; -1;1;3;1
201900007551;138 292 312;B01;1;1;1;2;1998;9;1;0; -1; -1;0; -1
201900007676;138 292 099;A01;10;3;4;1;1980;5;0; -1; -1;6;1;1
201900007676;138 292 099;A01;1;1;1;1;1988;5;1; -1; -1;0;0; -1
201900007721;138 292 000;B01;1;1;4;1;1999;9;2;8; -1; -1;0; -1
201900007721;138 292 000;B01;5;2;3;2;2003;9;2;8; -1; -1;0; -1
201900007721;138 292 001;A01;1;1;1;1;1978;0;1;8; -1; -1;0; -1
201900008287;138 291 016;B01;1;1;3;1;1969;1;9; -1; -1;0;0; -1
201900008287;138 291 017;A01;1;1;1;1;1972;5;1; -1; -1;0;0; -1
201900008598;138 290 419;B01;1;1;3;1;1990;5;2; -1; -1;0;0; -1
201900008598;138 290 420;A01;1;1;1;1;1991;5;1; -1; -1;0;0; -1
201900008598;138 290 420;A01;2;2;4;2;1999;5;1; -1; -1;0;0; -1
201900008599;138 290 417;B01;4;2;4;1;1996;0;1; -1; -1;0;0; -1
201900008599;138 290 417;B01;9;2;4;2;1998;0;1; -1; -1;0;0; -1
201900008599;138 290 417;B01;7;2;4;2;1996;0;1; -1; -1;0;0; -1
201900008599;138 290 417;B01;8;2;3;1;1997;0;1; -1; -1;0;0; -1
201900008599;138 290 417;B01;3;2;1;1;1997;0;1; -1; -1;0;0; -1
201900008599;138 290 417;B01;1;1;1;1;1992;0;1; -1; -1;0;0; -1
201900008599;138 290 417;B01;2;2;1;1;1953;0;1; -1; -1;0;0; -1
201900008599;138 290 418;A01;1;1;1;1;1984;0;1; -1; -1;0;0; -1
201900008713;138 290 220;C01;1;1;1;1;1984;0;0; -1; -1;0;0; -1
201900008713;138 290 221;B01;1;1;1;1;1984;0;1; -1; -1;0;0; -1
201900008713;138 290 222;A01;1;1;1;2;1993;0;1; -1; -1;0;0; -1
201900008713;138 290 222;A01;7;2;2;2;2018;0;3; -1; -1;0;0; -1
201900008714;138 290 218;B01;1;1;4;1;1974;5;1; -1; -1;0;0; -1
201900008714;138 290 219;A01;1;1;3;2;1984;5;1; -1; -1;0;0; -1
201900008715;138 290 216;B01;1;1;4;1;2002;5;0; -1; -1;0;0; -1
201900008715;138 290 217;A01;1;1;1;1;1994;3;1; -1; -1;0;0; -1
201900009006;138 289 674;A01;1;1;1;1;1932;5;1; -1; -1;0;0; -1
201900009006;138 289 675;B01;1;1;3;1;2000;0;2; -1; -1;0;0; -1
