Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
201900000117;3;3;0;;2;2;0;1;2;0;1;;;1;0;1;50
201900000190;2;1;0;;2;2;0;1;8;500;1;;;1;0;1;70
201900000213;3;9;0;;2;2;0;1;29;620;1;;;1;2;1; -1
201900000628;2;2;;;2;2;0;1;0;550;1;;;2;9;1;50
201900000724;3;9;;;2;2;0;1;6;100;1;;;1;0;1;80
201900001134;3;1;0;;2;2;0;1;3;0;1;;;1;0;1;50
201900001135;3;1;0;;2;2;1;1;2;570;1;;;1;0;1;50
201900001136;3;17;0;;3;1;0;1;0;220;1;;;1;0;1;50
201900002281;3;1;0;;2;2;0;1;2;0;1;;;1;9;1;50
201900002282;3;18;0;;2;2;1;1;1;0;1;;;1;9;1;50
201900002442;3;3;;;2;2;0;1;7;0;1;;;1;6;1;50
201900002604;3;17;0;;2;2;0;1;1;200;1;;;1;0;1;50
201900002605;3;3;0;; -1;2;0;1;2;660;1;;;1;0;1;50
201900002628;4;MANGO (CITE);0;;2;2;0;1;(1);(1);1;;;1;0;1;50
201900003363;4;;;;2;2;1;1;(1);(1);1;;;1;0;5; -1
201900003538;9;TECLE (EUGENE) CITE THEMIRE;0;;2;2;0;1;1;0;1;;;1;0;1;50
201900003590;4;SOURCE DE BADUEL (CHEMIN DE LA);0;;2;2;0;1;1111;0;1;;;1;0;1;50
201900003591;3;18;0;;2;1;2;1;0;850;1;;;2;0;1;50
201900003807;4;MOLE;0;;1;2;0;1;(1);(1);1;;;2;9;1;50
201900003920;9;MADELEINE (ROUTE DE LA);0;;2;2;0;1;1;0;1;;;1;9;1;50
201900003921;3;1;0;;1;2;0;1;4;615;2;;;1;0;1;50
201900004169;3;1;;; -1;2;0;1;15;0;2;;;1;0;8;50
201900004492;4;PREVOT (ERNEST);0;;1;2;0;1;0;0;1;;;1;0;1;50
201900004493;3;1;0;;2;2;0;1;2;600;1;;;1;0;1;50
201900004494;4;DAMAS (LEON GONTRAN);0;;1;1;0;1;(1);(1);1;;;2;0;1;50
201900004495;3;1;0;;2;1;0;1;3;950;1;;;1;0;1;50
201900004496;4;ESTREES (AVENUE D');0;; -1;2;0;1;0;0;1;;;2;0;1;50
201900004497;4;MONT LUCAS 1 (CITE);0;;2;2;0;1;(1);(1);3;;;1;0;1;30
201900004498;4;RABAN (ROUTE DE);0;;2;2;0;2;0;0;3;;;1;0;1;50
201900004499;3;3;0;;2;1;0;1;4;380;1;;;1;0;1;50
201900004500;4;MIRZA (CITE);0;;2;2;0;1;(1);(1);1;;;1;0;1;50
201900006592;3;1;0;;2;2;2;1;2;400;2;;;1;0;1;50
201900006685;4;;;;2;2;0;3;(1);(1);1;;;1;0;1; -1
201900006686;4;;;;2;2;0;1;(1);(1);1;;;1;0;1;50
201900006740;3;18;0;;2;2;0;1;1;600;1;;;9;9;1;50
201900006957;4;MANGO (ROUTE);0;;2;2;0;1;0;0;1;;;1;0;1;50
201900007034;3;11;;;2;2;0;1;0;900;1;;;1;5;1;50
201900007093;4;MANDELA  (BOULEVARD);0;;1;1;0;1;(1);(1);1;;;1;0;1;50
201900007094;3;18;0;;2;2;0;1;1;500;1;;;1;9;1;70
201900007095;2;1;0;;1;2;0;1;2;0;1;;;1;0;1;90
201900007096;3;18;0;;2;2;0;1;1;480;1;;;1;0;1;50
201900007097;4;MANDELA  (BOULEVARD);0;;2;2;0;1;(1);(1);1;;;1;0;1;50
201900007098;3;24;0;;2;2;0;1;1;470;1;;;1;0;1;70
201900007449;4;FAUBOURG L'ABRI (CITE);0;;1;1;0;1;(1);(1);1;;;1;0;1;50
201900007450;3;18;0;;2;3;2;1;2;990;1;;;1;5;1;50
201900007475;3;1;0;;2;2;0;1;2;480;1;;;1;0;1;50
201900007550;4;BRASSE (LIEUTENANT);0;;1;1;0;1;(1);(1);1;;;1;0;1;50
201900007551;2;1;0;;3;4;0;1;1;200;1;;;1;0;1;90
201900007676;3;9;;;2;2;0;1;9;0;1;;;1;0;1;90
201900007721;4;RABAN (ROUTE DE);0;;2;2;0;1;(1);(1);1;;;1;9;1;50
201900008287;3;50;0;;2;2;0;3;12;0;3;;;1;0;1;70
201900008598;2;2;;;2;2;0;1;0;760;1;;;1;0;1;50
201900008599;3;25;;;2;2;0;1;2;800;1;;;2;0;1;80
201900008713;2;1;;; -1;2;0;1;23;0;1;;;1;0;1;80
201900008714;3;5;0;;2;2;0;1;26;0;1;;;2;0;1;80
201900008715;4;;;;1;1;0;1;(1);(1);1;;;2;0;1;50
