Num_Acc;id_vehicule;num_veh;senc;catv;obs;obsm;choc;manv;motor;occutc
202400000187;155 781 421;B01;1;7;0;2;6;2;1;
202400000187;155 781 422;C01;2;7;0;2;1;5;1;
202400000187;155 781 424;A01;1;7;0;2;1;21;1;
202400000240;155 781 335;B01;1;31;0;2;1;1;1;
202400000240;155 781 336;A01;1;7;0;2;3;9;1;
202400000319;155 781 192;A01;1;7;1;2;6;16;1;
202400000319;155 781 194;B01;1;7;0;2;1;1;1;
202400000319;155 781 195;D01;3;7;0;2;6;24;1;
202400000319;155 781 196;C01;3;7;1;2;6;24;1;
202400000467;155 780 917;A01;3;30;0;0;7;21;1;
202400000626;155 780 638;A01;2;7;0;1;2;1;1;
202400000668;155 780 563;A01;3;30;0;2;1;1;1;
202400000668;155 780 564;B01;3;7;0;2;7;1;1;
202400000870;155 780 221;A01;1;7;0;1;1;15;1;
202400000871;155 780 219;A01;2;2;0;2;4;15;1;
202400000871;155 780 220;B01;1;2;0;2;5;1;1;
202400000872;155 780 217;A01;1;1;0;2;8;15;5;
202400000872;155 780 218;B01;1;7;0;2;1;1;1;
202400001016;155 779 970;A01;1;7;0;0;3;13;1;
202400001016;155 779 971;B01;2;7;0;0;5;1;1;
202400001064;155 779 888;Z01;1;10;0;2;1;2;1;
202400001064;155 779 890;B01;1;7;0;2;4;1;1;
202400001064;155 779 891;C01;1;7;0;2;4;1;1;
202400001066;155 779 884;B01;3;30;0;2;1;1;0;
202400001066;155 779 886;A01;3;7;0;2;3;15;1;
202400001329;155 779 434;A01;2;30;0;0;0;1;1;
202400001331;155 779 429;A01;1;30;0;2;1;1;1;
202400001331;155 779 431;B01;1;7;0;9;4;1;0;
202400001367;155 779 364;A01;1;7;0;2;3;15;1;
202400001367;155 779 365;B01;1;7;0;2;2;17;1;
202400002079;155 778 119;A01;1;30;0;2;1;17;1;
202400002079;155 778 121;B01;2;7;0;2;3;1;1;
202400002081;155 778 115;A01;3;50;0;2;1;8;3;
202400002081;155 778 117;B01;1;33;0;2;3;0;0;
202400002083;155 778 111;B01;1;2;0;2;7;1;1;
202400002083;155 778 113;A01;3;7;0;2;1;15;1;
202400002089;155 778 101;B01;2;7;0;2;0;0;1;
202400002089;155 778 103;A01;1;31;0;2;1;1;1;
202400002210;155 777 890;A01;1;7;0;2;1;2;0;
202400002210;155 777 892;B01;1;2;0;2;4;2;1;
202400002320;155 777 688;A01;1;2;0;0;3;26;1;
202400002323;155 777 681;B01;1;7;0;2;4;0;1;
202400002323;155 777 683;A01;1;33;0;2;1;2;1;
202400002552;155 777 302;A01;3;7;15;0;1;1;1;
202400002556;155 777 296;B01;1;10;0;2;2;0;0;
202400002556;155 777 299;A01;2;7;0;2;2;0;1;
202400002557;155 777 292;A01;1;7;0;2;3;2;1;
202400002557;155 777 294;B01;1;30;0;2;4;13;1;
202400002585;155 777 250;B01;1;32;0;2;2;1;1;
202400002585;155 777 252;A01;1;7;0;9;7;11;1;
202400002776;155 776 944;A01;1;30;0;2;3;1;1;
202400002776;155 776 946;B01;1;7;0;2;3;15;1;
202400002778;155 776 942;A01;1;7;0;1;2;1;1;
202400003004;155 776 561;A01;1;2;0;2;2;2;1;
202400003004;155 776 562;B01;1;7;0;2;7;1;1;
202400003006;155 776 557;B01;1;7;0;2;5;0;1;
202400003006;155 776 558;A01;1;50;0;2;8;13;3;
202400003009;155 776 552;B01;1;7;0;2;5;16;1;
202400003009;155 776 555;A01;1;2;0;2;8;18;1;
202400003011;155 776 550;A01;2;50;0;1;8;13;3;
202400003073;155 776 434;A01;2;7;0;2;7;9;1;
202400003073;155 776 436;B01;2;50;0;2;8;2;3;
202400003077;155 776 426;A01;1;7;0;2;1;9;1;
202400003077;155 776 429;B01;2;50;0;2;8;5;3;
202400003225;155 776 159;A01;1;1;0;0;0;1;5;
202400003228;155 776 153;B01;2;7;0;2;2;1;1;
202400003228;155 776 155;A01;2;30;0;2;1;1;1;
202400003388;155 775 870;B01;3;1;0;2;8;0;5;
202400003388;155 775 872;A01;3;7;0;2;1;1;1;
202400003568;155 775 531;B01;2;7;0;2;1;1;1;
202400003568;155 775 532;A01;1;10;0;2;2;13;1;
202400003632;155 775 411;B01;1;50;0;2;3;1;3;
202400003632;155 775 412;A01;1;7;0;2;2;18;1;
202400003633;155 775 407;A01;1;7;0;2;3;0;1;
202400003633;155 775 408;B01;2;7;0;2;7;13;1;
202400003634;155 775 405;A01;1;32;0;2;1;1;1;
202400003634;155 775 406;B01;1;7;0;2;8;2;1;
202400003637;155 775 401;A01;2;30;0;2;1;1;1;
202400003637;155 775 404;B01;1;7;0;9;8;15;1;
202400003694;155 775 301;A01;1;7;0;1;7;1;1;
