Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
202400000187;3;BADUEL (ROUTE DE);0;;2;2;0;1;2;890;1;; -1;1;0;1;50
202400000187;3;; -1;;2; -1; -1;1; -1; -1;1;; -1;1;0;1; -1
202400000240;3;CHARLERY (GUSTAVE);0;;2;2;0;1; -1; -1;1;; -1;1;0;8;50
202400000240;3;MONTABO (ROUTE DE) 1;0;;2;2;0;1;0;390;1;; -1;1;0;1;50
202400000319;4;GIPPET (DOCTEUR);0;;2;2;0;1; -1; -1;1;; -1;1;0;1;50
202400000319;4;VOLTAIRE(AVENUE);0;;1;2;0;1; -1; -1;1;; -1;1;0;1;50
202400000467;4;; -1;;2; -1; -1;1; -1; -1;1;; -1;1;0;1; -1
202400000467;4;RABAN (ROUTE DE);0;;2;2;0;1; -1; -1;1;; -1;1;0;1;50
202400000626;2;1; -1;;2;2;0;1;15;800;1;;7;1;0;1;80
202400000668;4;ARAGO (FRANCOIS);0;;2;2;0;1; -1; -1;1;; -1;1;0;1;50
202400000668;4;DE GAULLE (AVENUE);0;;2;2;0;1; -1; -1;1;; -1;1;0;1;50
202400000870;4;LALLOUETTE;0;;1;2;0;1; -1; -1;3;; -1;1;9;1;50
202400000871;3;BADUEL (ROUTE DE);0;;2;2;0;1;2;890;1;; -1;1;0;1;50
202400000872;3;CABASSOU (ROUTE DE);0;;2;2;0;1;0;260;1;; -1;1;0;1;50
202400000872;3;NEGRES MARONS (RUE DES) CITE BONHOMME;0;;2;2;0;1; -1; -1;1;; -1;1;0;1;50
202400001016;3;; -1;;2;2;0;1;9;540;1;; -1;1;0;1; -1
202400001064;3;BADUEL (ROUTE DE);0;;2;2;0;1;4;610;1;; -1;1;0;1;50
202400001066;4;CALIMBE (III);0;;2;2;0;1; -1; -1;1;; -1;1;0;1;50
202400001066;4;MERE THERESA (rue);0;;2;2;0;1; -1; -1;1;; -1;1;0;1;50
202400001329;3;MADELEINE (ROUTE DE LA);0;;2;2;0;1;3;230;1;; -1;1;0;1;50
202400001331;4;MERE THERESA (rue);0;;2;2;0;1; -1; -1;1;; -1;1;0;1;50
202400001367;3;1;0;D;2;2;0;1;5;530;1;; -1;1;0;1;50
202400002079;3;BADUEL (ROUTE DE);0;;2;2;0;1;1;850;1;; -1;1;0;1;50
202400002081;3;ZEPHIR (ROCADE);0;;2;2;0;1;3;10;1;; -1;2;0;1;50
202400002081;3;ZEPHIR (ROCADE);0;;2;2;3;1; -1; -1;1;; -1;2;0;8;50
202400002083;3;MADELEINE (ROUTE DE LA);0;;2;2;0;1;3;82;1;; -1;2;0;1;50
202400002083;3;MORTIN (CITE);0;;2;2;0;1; -1; -1;1;; -1;2;0;1;50
202400002089;3;BADUEL (ROUTE DE);0;;2;2;0;1;4;500;1;; -1;1;0;1;50
202400002210;2;1; -1;;2;2;0;1;7;680;1;;7;1;0;1;70
202400002210;2;; -1;;2; -1; -1;1;0;895;1;; -1;1;0;1; -1
202400002320;3;MADELEINE (ROUTE DE LA);0;;2;2;0;1;2;620;1;; -1;1;9;1;50
202400002323;2;ROUTE NATIONALE 1;0;;1;2;2;1;3;710;1;; -1;1;0;1;90
202400002552;4;11;0;N;2;2;0;1; -1; -1;4;; -1;1;0;3;80
202400002556;2;1;0;;2;2;0;1;109;260;2;;7;1;0;1;80
