Num_Acc;id_usager;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp
202400000187;203 988 104;155 781 421;B01;1;1;1;2;1999;0;1;0; -1; -1; -1; -1
202400000187;203 988 105;155 781 422;C01;1;1;3;2;1984;0;1;0; -1; -1; -1; -1
202400000187;203 988 107;155 781 424;A01;1;1;4;2;1985;0;1;0; -1; -1; -1; -1
202400000240;203 987 993;155 781 335;B01;1;1;4;1;2001;9;2;8; -1; -1; -1; -1
202400000240;203 987 994;155 781 336;A01;1;1;1;1;1964;9;1;8; -1; -1; -1; -1
202400000319;203 987 804;155 781 192;A01;1;1;4;2;2001;0;8;0; -1; -1; -1; -1
202400000319;203 987 806;155 781 194;B01;1;1;1;1;1995;0;8;0; -1; -1; -1; -1
202400000319;203 987 807;155 781 194;B01;4;2;4;1;2019;0;8;0; -1; -1; -1; -1
202400000319;203 987 808;155 781 195;D01;1;1;1;2;1994;0;1;8; -1; -1; -1; -1
202400000319;203 987 809;155 781 196;C01;1;1;1;2;1968;9;1;0; -1; -1; -1; -1
202400000467;203 987 432;155 780 917;A01;1;1;4;1;1966;1;2;0; -1; -1; -1; -1
202400000626;203 987 050;155 780 638;A01;10;3;3;2;1978;0;0; -1; -1;1;3;1
202400000626;203 987 052;155 780 638;A01;1;1;1;1;1974;0;8; -1; -1;0;0; -1
202400000668;203 986 945;155 780 563;A01;1;1;3;1;1999;0;2;8; -1; -1; -1; -1
202400000668;203 986 948;155 780 564;B01;1;1;1;1;1984;0;1;8; -1; -1; -1; -1
202400000870;203 986 476;155 780 221;A01;1;1;1;2;1951;0;1;8; -1; -1; -1; -1
202400000870;203 986 477;155 780 221;A01;10;3;4;2;1997;9;0; -1; -1;9;3;1
202400000871;203 986 473;155 780 219;A01;2;2;1;2;1983;1;2;0; -1; -1; -1; -1
202400000871;203 986 474;155 780 219;A01;1;1;1;2;1971;1;2;0; -1; -1; -1; -1
202400000871;203 986 475;155 780 220;B01;1;1;4;2;1950;9;2;0; -1; -1; -1; -1
202400000872;203 986 471;155 780 217;A01;1;1;4;1;1953;0;8;0; -1; -1; -1; -1
202400000872;203 986 472;155 780 218;B01;1;1;1;2;1994;0;1;0; -1; -1; -1; -1
202400001016;203 986 144;155 779 970;A01;1;1;4;2;1969;5;1; -1; -1;0;0; -1
202400001016;203 986 145;155 779 971;B01;1;1;1;1;1972;5;1; -1; -1;0;0; -1
202400001064;203 986 037;155 779 888;Z01;1;1;1;1;1995;0;1;8; -1; -1; -1; -1
